,station_id,num_bikes_available,eightd_has_available_keys,last_reported,legacy_id,num_docks_available,num_ebikes_available,num_bikes_disabled,station_status,is_installed,num_docks_disabled,is_renting,is_returning,starttime,timestamp,demand,supply
0,72,42,False,1604239303,72,13,2,0,active,1,0,1,1,1604239360,1604239360,42,42
1,79,22,False,1604238674,79,11,2,0,active,1,0,1,1,1604239360,1604239360,22,22
2,82,16,False,1604238717,82,11,0,0,active,1,0,1,1,1604239360,1604239360,16,16
3,83,48,False,1604238633,83,14,1,0,active,1,0,1,1,1604239360,1604239360,48,48
4,116,0,False,86400,116,0,0,0,out_of_service,0,0,0,0,1604239360,1604239360,0,0
5,119,41,False,1604235832,119,11,0,1,active,1,0,1,1,1604239360,1604239360,41,41
6,120,8,False,1604238445,120,11,3,0,active,1,0,1,1,1604239360,1604239360,8,8
7,127,29,False,1604239309,127,1,0,1,active,1,0,1,1,1604239360,1604239360,29,29
8,128,5,False,1604238938,128,51,0,0,active,1,0,1,1,1604239360,1604239360,5,5
9,143,0,False,1604235085,143,23,0,1,active,1,0,1,1,1604239360,1604239360,0,0
10,144,33,False,1604239303,144,25,4,0,active,1,0,1,1,1604239360,1604239360,33,33
11,146,19,False,1604238499,146,19,2,1,active,1,0,1,1,1604239360,1604239360,19,19
12,150,36,False,1604238847,150,17,8,2,active,1,0,1,1,1604239360,1604239360,36,36
13,151,10,True,1604239111,151,21,0,2,active,1,0,1,1,1604239360,1604239360,10,10
14,152,5,False,1604239019,152,44,1,0,active,1,0,1,1,1604239360,1604239360,5,5
15,157,17,False,1604238946,157,5,3,1,active,1,0,1,1,1604239360,1604239360,17,17
16,161,29,False,1604238969,161,6,1,0,active,1,0,1,1,1604239360,1604239360,29,29
17,164,10,False,1604237938,164,16,1,1,active,1,0,1,1,1604239360,1604239360,10,10
18,168,29,False,1604238238,168,18,4,0,active,1,0,1,1,1604239360,1604239360,29,29
19,173,23,False,1604238498,173,45,1,2,active,1,0,1,1,1604239360,1604239360,23,23
20,174,15,False,1604239075,174,15,0,0,active,1,0,1,1,1604239360,1604239360,15,15
21,212,18,False,1604239063,212,42,2,0,active,1,0,1,1,1604239360,1604239360,18,18
22,216,3,False,1604222924,216,34,2,0,active,1,0,1,1,1604239360,1604239360,3,3
23,217,37,False,1604239202,217,2,1,0,active,1,0,1,1,1604239360,1604239360,37,37
24,223,8,False,1604238882,223,25,0,0,active,1,0,1,1,1604239360,1604239360,8,8
25,224,12,True,1604239092,224,17,5,1,active,1,0,1,1,1604239360,1604239360,12,12
26,228,43,False,1604238587,228,9,10,3,active,1,0,1,1,1604239360,1604239360,43,43
27,229,18,False,1604239260,229,3,1,2,active,1,0,1,1,1604239360,1604239360,18,18
28,236,37,False,1604237196,236,9,0,1,active,1,0,1,1,1604239360,1604239360,37,37
29,237,0,False,1601900359,237,19,0,0,out_of_service,0,0,0,0,1604239360,1604239360,0,0
30,238,28,False,1604238695,238,3,2,0,active,1,0,1,1,1604239360,1604239360,28,28
31,239,19,False,1604238785,239,11,1,1,active,1,0,1,1,1604239360,1604239360,19,19
32,241,7,False,1604206095,241,13,1,3,active,1,0,0,0,1604239360,1604239360,7,7
33,242,32,False,1604211672,242,13,0,1,active,1,0,1,1,1604239360,1604239360,32,32
34,244,10,False,1604236758,244,21,1,0,active,1,0,1,1,1604239360,1604239360,10,10
35,245,8,False,1604214227,245,14,0,1,active,1,0,1,1,1604239360,1604239360,8,8
36,247,3,False,1604239334,247,52,0,0,active,1,0,1,1,1604239360,1604239360,3,3
37,248,68,False,1604236844,248,31,1,0,active,1,0,1,1,1604239360,1604239360,68,68
38,249,4,False,1604214147,249,23,0,0,active,1,0,1,1,1604239360,1604239360,4,4
39,250,27,False,1604238049,250,11,1,2,active,1,0,1,1,1604239360,1604239360,27,27
40,251,21,False,1604237599,251,6,2,0,active,1,0,1,1,1604239360,1604239360,21,21
41,252,10,False,1604237595,252,21,3,2,active,1,0,1,1,1604239360,1604239360,10,10
42,254,20,False,1604239230,254,26,1,1,active,1,0,1,1,1604239360,1604239360,20,20
43,257,5,False,1604239174,257,33,0,1,active,1,0,1,1,1604239360,1604239360,5,5
44,258,12,False,1604238718,258,11,2,0,active,1,0,1,1,1604239360,1604239360,12,12
45,259,15,False,1604239010,259,24,3,0,active,1,0,1,1,1604239360,1604239360,15,15
46,260,8,False,1604238262,260,24,0,1,active,1,0,1,1,1604239360,1604239360,8,8
47,261,20,False,1604239025,261,20,3,1,active,1,0,1,1,1604239360,1604239360,20,20
48,262,4,False,1604238956,262,19,2,1,active,1,0,1,1,1604239360,1604239360,4,4
49,264,0,False,1604239115,264,0,0,3,active,1,24,1,1,1604239360,1604239360,0,0
50,265,29,False,1604238460,265,5,0,1,active,1,0,1,1,1604239360,1604239360,29,29
51,267,30,False,1604239334,267,38,1,2,active,1,0,1,1,1604239360,1604239360,30,30
52,268,17,False,1604238896,268,10,0,0,active,1,0,1,1,1604239360,1604239360,17,17
53,270,16,False,1604238995,270,7,9,0,active,1,0,1,1,1604239360,1604239360,16,16
54,274,19,False,1604237701,274,12,0,0,active,1,0,1,1,1604239360,1604239360,19,19
55,275,4,False,1604211662,275,14,2,1,active,1,0,1,1,1604239360,1604239360,4,4
56,276,6,False,1604234672,276,19,2,0,active,1,0,1,1,1604239360,1604239360,6,6
57,278,0,False,1604238733,278,18,0,1,active,1,0,1,1,1604239360,1604239360,0,0
58,280,0,False,86400,280,0,0,0,out_of_service,0,0,0,0,1604239360,1604239360,0,0
59,281,7,True,1604239169,281,59,1,0,active,1,0,1,1,1604239360,1604239360,7,7
60,282,22,False,1604239333,282,2,0,3,active,1,0,1,1,1604239360,1604239360,22,22
61,284,14,False,1604238848,284,36,3,1,active,1,0,1,1,1604239360,1604239360,14,14
62,285,21,True,1604239325,285,29,1,3,active,1,0,1,1,1604239360,1604239360,21,21
63,289,10,False,1604237478,289,8,2,1,active,1,0,1,1,1604239360,1604239360,10,10
64,291,10,False,1604239284,291,3,0,0,active,1,0,1,1,1604239360,1604239360,10,10
65,293,40,False,1604239174,293,11,1,3,active,1,1,1,1,1604239360,1604239360,40,40
66,295,20,False,1604239114,295,4,1,0,active,1,0,1,1,1604239360,1604239360,20,20
67,297,29,False,1604239286,297,47,0,1,active,1,0,1,1,1604239360,1604239360,29,29
