,legacy_id,last_reported,num_docks_available,station_status,num_bikes_disabled,station_id,is_installed,num_docks_disabled,is_returning,num_bikes_available,eightd_has_available_keys,num_ebikes_available,is_renting,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,72,1604254206,22,active,1,72,1,0,1,32,False,1,1,,,1604257195,1604257195,32,32
1,79,1604255622,13,active,1,79,1,0,1,19,False,0,1,,,1604257195,1604257195,19,19
2,82,1604256676,12,active,0,82,1,0,1,15,False,0,1,,,1604257195,1604257195,15,15
3,83,1604255927,7,active,0,83,1,0,1,55,False,1,1,,,1604257195,1604257195,55,55
4,116,86400,0,out_of_service,0,116,0,0,0,0,False,0,0,,,1604257195,1604257195,0,0
5,119,1604256695,11,active,1,119,1,0,1,41,False,1,1,,,1604257195,1604257195,41,41
6,120,1604256959,12,active,1,120,1,0,1,6,False,2,1,,,1604257195,1604257195,6,6
7,127,1604252762,0,active,2,127,1,0,1,29,False,2,1,,,1604257195,1604257195,29,29
8,128,1604256628,28,active,1,128,1,0,1,27,False,1,1,,,1604257195,1604257195,27,27
9,143,1604257012,18,active,1,143,1,0,1,5,False,1,1,,,1604257195,1604257195,5,5
10,144,1604256874,30,active,0,144,1,0,1,28,False,0,1,,,1604257195,1604257195,28,28
11,146,1604255926,20,active,1,146,1,0,1,18,False,1,1,,,1604257195,1604257195,18,18
12,150,1604256777,33,active,1,150,1,0,1,21,False,1,1,,,1604257195,1604257195,21,21
13,151,1604256784,5,active,3,151,1,0,1,25,True,5,1,,,1604257195,1604257195,25,25
14,152,1604256726,37,active,0,152,1,0,1,12,False,1,1,,,1604257195,1604257195,12,12
15,157,1604256905,5,active,2,157,1,0,1,16,False,2,1,,,1604257195,1604257195,16,16
16,161,1604256977,0,active,0,161,1,0,1,35,False,5,1,,,1604257195,1604257195,35,35
17,164,1604256713,23,active,0,164,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
18,168,1604256707,22,active,0,168,1,0,1,25,False,2,1,,,1604257195,1604257195,25,25
19,173,1604255953,42,active,2,173,1,0,1,26,False,1,1,,,1604257195,1604257195,26,26
20,174,1604256904,17,active,0,174,1,0,1,13,False,1,1,,,1604257195,1604257195,13,13
21,212,1604255601,53,active,0,212,1,0,1,7,False,0,1,,,1604257195,1604257195,7,7
22,216,1604255256,35,active,0,216,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
23,217,1604253295,3,active,0,217,1,0,1,36,False,1,1,,,1604257195,1604257195,36,36
24,223,1604256327,21,active,1,223,1,0,1,11,False,2,1,,,1604257195,1604257195,11,11
25,224,1604256835,24,active,2,224,1,0,1,4,True,0,1,,,1604257195,1604257195,4,4
26,228,1604255799,23,active,1,228,1,0,1,31,False,7,1,,,1604257195,1604257195,31,31
27,229,1604256219,0,active,2,229,1,0,1,21,False,1,1,,,1604257195,1604257195,21,21
28,236,1604257188,1,active,0,236,1,0,1,46,False,0,1,,,1604257195,1604257195,46,46
29,237,1601900359,19,out_of_service,0,237,0,0,0,0,False,0,0,,,1604257195,1604257195,0,0
30,238,1604254697,15,active,0,238,1,0,1,16,False,2,1,,,1604257195,1604257195,16,16
31,239,1604256169,20,active,0,239,1,0,1,11,False,1,1,,,1604257195,1604257195,11,11
32,241,1604255097,2,active,2,241,1,0,1,19,False,7,1,,,1604257195,1604257195,19,19
33,242,1604250828,9,active,0,242,1,0,1,37,False,2,1,,,1604257195,1604257195,37,37
34,244,1604256154,23,active,0,244,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
35,245,1604251158,14,active,2,245,1,0,1,7,False,0,1,,,1604257195,1604257195,7,7
36,247,1604256577,30,active,0,247,1,0,1,25,False,2,1,,,1604257195,1604257195,25,25
37,248,1604256346,33,active,1,248,1,0,1,65,False,2,1,,,1604257195,1604257195,65,65
38,249,1604249786,25,active,0,249,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
39,250,1604256823,5,active,3,250,1,0,1,32,False,1,1,,,1604257195,1604257195,32,32
40,251,1604256796,2,active,1,251,1,0,1,24,False,3,1,,,1604257195,1604257195,24,24
41,252,1604257092,10,active,2,252,1,0,1,21,False,1,1,,,1604257195,1604257195,21,21
42,254,1604256702,33,active,1,254,1,0,1,13,False,2,1,,,1604257195,1604257195,13,13
43,257,1604256588,21,active,1,257,1,0,1,17,False,0,1,,,1604257195,1604257195,17,17
44,258,1604256460,1,active,1,258,1,0,1,21,False,4,1,,,1604257195,1604257195,21,21
45,259,1604255775,11,active,0,259,1,0,1,28,False,5,1,,,1604257195,1604257195,28,28
46,260,1604249718,23,active,1,260,1,0,1,9,False,0,1,,,1604257195,1604257195,9,9
47,261,1604255564,17,active,0,261,1,0,1,24,False,5,1,,,1604257195,1604257195,24,24
48,262,1604256892,23,active,1,262,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
49,264,1604257064,0,active,3,264,1,24,1,0,False,0,1,,,1604257195,1604257195,0,0
50,265,1604256092,3,active,1,265,1,0,1,31,False,0,1,,,1604257195,1604257195,31,31
51,267,1604256976,42,active,2,267,1,0,1,26,False,3,1,,,1604257195,1604257195,26,26
52,268,1604255961,1,active,0,268,1,0,1,26,False,4,1,,,1604257195,1604257195,26,26
53,270,1604256835,11,active,0,270,1,0,1,12,False,7,1,,,1604257195,1604257195,12,12
54,274,1604255814,6,active,1,274,1,0,1,24,False,0,1,,,1604257195,1604257195,24,24
55,275,1604254991,12,active,0,275,1,0,1,7,False,4,1,,,1604257195,1604257195,7,7
56,276,1604256453,25,active,0,276,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
57,278,1604255382,11,active,1,278,1,0,1,7,False,2,1,,,1604257195,1604257195,7,7
58,280,86400,0,out_of_service,0,280,0,0,0,0,False,0,0,,,1604257195,1604257195,0,0
59,281,1604256867,35,active,1,281,1,0,1,30,True,0,1,,,1604257195,1604257195,30,30
60,282,1604256472,3,active,2,282,1,0,1,22,False,0,1,,,1604257195,1604257195,22,22
61,284,1604256059,33,active,3,284,1,0,1,15,False,1,1,,,1604257195,1604257195,15,15
62,285,1604257021,24,active,3,285,1,0,1,26,True,1,1,,,1604257195,1604257195,26,26
63,289,1604256893,10,active,1,289,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
64,291,1604256530,3,active,0,291,1,0,1,10,False,1,1,,,1604257195,1604257195,10,10
65,293,1604257056,23,active,3,293,1,1,1,28,False,1,1,,,1604257195,1604257195,28,28
66,295,1604255577,4,active,0,295,1,0,1,20,False,3,1,,,1604257195,1604257195,20,20
67,297,1604256704,49,active,3,297,1,0,1,25,False,6,1,,,1604257195,1604257195,25,25
68,298,1604257093,4,active,2,298,1,0,1,29,False,2,1,,,1604257195,1604257195,29,29
69,301,1604253778,15,active,0,301,1,0,1,43,False,1,1,,,1604257195,1604257195,43,43
70,302,1604255659,16,active,1,302,1,0,1,6,False,0,1,,,1604257195,1604257195,6,6
71,303,1604256963,33,active,1,303,1,0,1,33,False,3,1,,,1604257195,1604257195,33,33
72,304,1604257173,8,active,0,304,1,0,1,25,False,2,1,,,1604257195,1604257195,25,25
73,305,1604256780,20,active,0,305,1,0,1,13,False,2,1,,,1604257195,1604257195,13,13
74,307,1604256855,3,active,0,307,1,0,1,27,False,1,1,,,1604257195,1604257195,27,27
75,308,1604256956,29,active,1,308,1,0,1,18,False,5,1,,,1604257195,1604257195,18,18
76,309,1604255195,29,active,0,309,1,0,1,12,False,0,1,,,1604257195,1604257195,12,12
77,310,1604256181,6,active,0,310,1,0,1,60,False,1,1,,,1604257195,1604257195,60,60
78,311,1604257131,14,active,0,311,1,0,1,17,False,1,1,,,1604257195,1604257195,17,17
79,312,1604256436,1,active,0,312,1,0,1,32,False,4,1,,,1604257195,1604257195,32,32
