,station_status,num_bikes_disabled,num_bikes_available,eightd_has_available_keys,legacy_id,station_id,is_renting,num_docks_disabled,is_installed,num_ebikes_available,is_returning,num_docks_available,last_reported,starttime,timestamp,demand,supply
0,active,0,35,False,72,72,1,0,1,2,1,20,1604303775,1604311200,1604311200,35,35
1,active,0,20,False,79,79,1,0,1,0,1,13,1604310740,1604311200,1604311200,20,20
2,active,0,16,False,82,82,1,0,1,3,1,11,1604299379,1604311200,1604311200,16,16
3,active,0,53,False,83,83,1,0,1,0,1,9,1604298208,1604311200,1604311200,53,53
4,out_of_service,0,0,False,116,116,0,0,0,0,0,0,86400,1604311200,1604311200,0,0
5,active,1,43,False,119,119,1,0,1,2,1,9,1604298291,1604311200,1604311200,43,43
6,active,0,11,False,120,120,1,0,1,4,1,8,1604298274,1604311200,1604311200,11,11
7,active,0,27,False,127,127,1,0,1,3,1,4,1604299378,1604311200,1604311200,27,27
8,active,1,30,False,128,128,1,0,1,0,1,25,1604300576,1604311200,1604311200,30,30
9,active,0,2,False,143,143,1,0,1,0,1,22,1604298223,1604311200,1604311200,2,2
10,active,0,32,False,144,144,1,0,1,1,1,26,1604308166,1604311200,1604311200,32,32
11,active,2,15,False,146,146,1,0,1,2,1,22,1604298366,1604311200,1604311200,15,15
12,active,0,43,False,150,150,1,0,1,6,1,12,1604299956,1604311200,1604311200,43,43
13,active,2,3,True,151,151,1,0,1,0,1,28,1604304134,1604311200,1604311200,3,3
14,active,0,12,False,152,152,1,0,1,0,1,37,1604310373,1604311200,1604311200,12,12
15,active,1,20,False,157,157,1,0,1,3,1,2,1604298575,1604311200,1604311200,20,20
16,active,0,13,False,161,161,1,0,1,4,1,22,1604308015,1604311200,1604311200,13,13
17,active,0,9,False,164,164,1,0,1,1,1,18,1604303041,1604311200,1604311200,9,9
18,active,0,19,False,168,168,1,0,1,0,1,28,1604300634,1604311200,1604311200,19,19
19,active,2,27,False,173,173,1,0,1,6,1,41,1604303125,1604311200,1604311200,27,27
20,active,1,26,False,174,174,1,0,1,5,1,3,1604300654,1604311200,1604311200,26,26
21,active,0,5,False,212,212,1,0,1,1,1,55,1604300602,1604311200,1604311200,5,5
22,active,0,4,False,216,216,1,0,1,0,1,33,1604298357,1604311200,1604311200,4,4
23,active,1,38,False,217,217,1,0,1,0,1,0,1604298314,1604311200,1604311200,38,38
24,active,0,10,False,223,223,1,0,1,1,1,23,1604306800,1604311200,1604311200,10,10
25,active,1,2,True,224,224,1,0,1,0,1,27,1604298187,1604311200,1604311200,2,2
26,active,0,24,False,228,228,1,0,1,2,1,31,1604301534,1604311200,1604311200,24,24
27,active,2,8,False,229,229,1,0,1,0,1,13,1604301610,1604311200,1604311200,8,8
28,active,1,40,False,236,236,1,0,1,1,1,6,1604310872,1604311200,1604311200,40,40
29,out_of_service,0,0,False,237,237,0,0,0,0,0,1,1604258096,1604311200,1604311200,0,0
30,active,0,18,False,238,238,1,0,1,1,1,13,1604299483,1604311200,1604311200,18,18
31,active,0,8,False,239,239,1,0,1,1,1,23,1604310984,1604311200,1604311200,8,8
32,active,1,18,False,241,241,1,0,1,3,1,4,1604298194,1604311200,1604311200,18,18
33,active,0,39,False,242,242,1,0,1,4,1,7,1604310352,1604311200,1604311200,39,39
34,active,0,15,False,244,244,1,0,1,2,1,16,1604298159,1604311200,1604311200,15,15
35,active,1,6,False,245,245,1,0,1,0,1,16,1604300642,1604311200,1604311200,6,6
36,active,1,27,False,247,247,1,0,1,0,1,27,1604306848,1604311200,1604311200,27,27
37,active,0,65,False,248,248,1,0,1,1,1,34,1604299368,1604311200,1604311200,65,65
38,active,0,4,False,249,249,1,0,1,1,1,23,1604300775,1604311200,1604311200,4,4
39,active,1,24,False,250,250,1,0,1,2,1,15,1604308230,1604311200,1604311200,24,24
40,active,1,14,False,251,251,1,0,1,2,1,12,1604300723,1604311200,1604311200,14,14
41,active,2,25,False,252,252,1,0,1,1,1,6,1604309170,1604311200,1604311200,25,25
42,active,1,15,False,254,254,1,0,1,1,1,31,1604302766,1604311200,1604311200,15,15
43,active,1,16,False,257,257,1,0,1,2,1,22,1604300672,1604311200,1604311200,16,16
44,active,0,13,False,258,258,1,0,1,1,1,10,1604307232,1604311200,1604311200,13,13
45,active,0,28,False,259,259,1,0,1,1,1,11,1604298282,1604311200,1604311200,28,28
46,active,1,4,False,260,260,1,0,1,0,1,28,1604298269,1604311200,1604311200,4,4
47,active,0,22,False,261,261,1,0,1,0,1,19,1604303588,1604311200,1604311200,22,22
48,active,2,2,False,262,262,1,0,1,0,1,20,1604298342,1604311200,1604311200,2,2
49,active,1,7,False,264,264,1,0,1,0,1,19,1604305439,1604311200,1604311200,7,7
50,active,0,19,False,265,265,1,0,1,1,1,16,1604309368,1604311200,1604311200,19,19
51,active,2,24,False,267,267,1,0,1,0,1,44,1604300810,1604311200,1604311200,24,24
52,active,0,14,False,268,268,1,0,1,0,1,13,1604300783,1604311200,1604311200,14,14
53,active,0,17,False,270,270,1,0,1,6,1,6,1604300708,1604311200,1604311200,17,17
54,active,2,10,False,274,274,1,0,1,2,1,19,1604302820,1604311200,1604311200,10,10
55,active,1,12,False,275,275,1,0,1,7,1,6,1604310709,1604311200,1604311200,12,12
56,active,0,5,False,276,276,1,0,1,1,1,20,1604298168,1604311200,1604311200,5,5
57,active,1,7,False,278,278,1,0,1,1,1,11,1604298291,1604311200,1604311200,7,7
58,out_of_service,0,0,False,280,280,0,0,0,0,0,0,86400,1604311200,1604311200,0,0
59,active,1,24,True,281,281,1,0,1,0,1,41,1604299491,1604311200,1604311200,24,24
60,active,2,22,False,282,282,1,0,1,1,1,3,1604300696,1604311200,1604311200,22,22
61,active,0,9,False,284,284,1,0,1,0,1,42,1604304542,1604311200,1604311200,9,9
