,station_status,eightd_has_available_keys,legacy_id,station_id,is_installed,is_returning,last_reported,num_docks_disabled,num_bikes_available,is_renting,num_docks_available,num_ebikes_available,num_bikes_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,active,False,72,72,1,1,1604630960,0,24,1,30,1,1,,,1604631600,1604631600,3,0
1,active,False,79,79,1,1,1604630133,0,19,1,13,0,1,,,1604631600,1604631600,0,1
2,active,False,82,82,1,1,1604630455,0,6,1,21,0,0,,,1604631600,1604631600,3,0
3,active,False,83,83,1,1,1604628525,0,43,1,19,0,0,,,1604631600,1604631600,0,0
4,out_of_service,False,116,116,0,0,86400,0,0,0,0,0,0,,,1604631600,1604631600,0,0
5,active,False,119,119,1,1,1604630285,0,50,1,1,1,2,,,1604631600,1604631600,1,0
6,active,False,120,120,1,1,1604631231,0,2,1,17,0,0,,,1604631600,1604631600,2,0
7,active,False,127,127,1,1,1604631435,0,29,1,0,0,2,,,1604631600,1604631600,0,1
8,active,False,128,128,1,1,1604631418,0,50,1,4,1,2,,,1604631600,1604631600,1,0
9,active,False,143,143,1,1,1604630664,0,12,1,12,1,0,,,1604631600,1604631600,0,2
10,active,False,144,144,1,1,1604629369,0,41,1,16,0,1,,,1604631600,1604631600,3,0
11,active,False,146,146,1,1,1604630082,0,21,1,17,0,1,,,1604631600,1604631600,0,0
12,active,False,150,150,1,1,1604630122,0,20,1,35,5,0,,,1604631600,1604631600,4,0
13,active,True,151,151,1,1,1604631255,0,27,1,4,0,2,,,1604631600,1604631600,0,1
14,active,False,152,152,1,1,1604628489,0,22,1,27,0,0,,,1604631600,1604631600,3,0
15,active,False,157,157,1,1,1604631469,0,21,1,2,1,0,,,1604631600,1604631600,0,0
16,active,False,161,161,1,1,1604631454,0,26,1,8,1,1,,,1604631600,1604631600,0,6
17,active,False,164,164,1,0,1604627769,0,46,0,1,4,0,,,1604631600,1604631600,1,0
18,active,False,168,168,1,1,1604630913,0,18,1,27,0,2,,,1604631600,1604631600,0,5
19,active,False,173,173,1,1,1604630534,0,6,1,63,0,1,,,1604631600,1604631600,0,5
20,active,False,174,174,1,1,1604631476,0,7,1,26,0,2,,,1604631600,1604631600,1,0
21,active,False,212,212,1,1,1604630246,0,30,1,29,0,1,,,1604631600,1604631600,0,1
22,active,False,216,216,1,1,1604631116,0,9,1,27,0,1,,,1604631600,1604631600,1,0
23,active,False,217,217,1,1,1604629565,0,31,1,7,0,1,,,1604631600,1604631600,0,2
24,active,False,223,223,1,1,1604631011,0,23,1,10,2,0,,,1604631600,1604631600,0,1
25,active,True,224,224,1,1,1604629703,0,2,1,28,0,0,,,1604631600,1604631600,2,0
26,active,False,228,228,1,1,1604629262,0,16,1,38,0,1,,,1604631600,1604631600,0,6
27,active,False,229,229,1,1,1604629435,0,1,1,19,0,3,,,1604631600,1604631600,0,0
28,active,False,236,236,1,1,1604631112,0,45,1,0,0,2,,,1604631600,1604631600,0,7
29,active,False,237,237,1,1,1604631591,0,29,1,10,0,0,,,1604631600,1604631600,0,3
30,active,False,238,238,1,1,1604630347,0,24,1,3,1,4,,,1604631600,1604631600,3,0
31,active,False,239,239,1,1,1604631174,0,18,1,11,1,2,,,1604631600,1604631600,0,1
32,active,False,241,241,1,1,1604630439,0,14,1,5,0,4,,,1604631600,1604631600,0,2
33,active,False,242,242,1,1,1604628539,0,33,1,13,0,0,,,1604631600,1604631600,0,0
34,active,False,244,244,1,1,1604631205,0,7,1,24,1,0,,,1604631600,1604631600,0,0
35,active,False,245,245,1,1,1604630428,0,2,1,19,0,2,,,1604631600,1604631600,0,0
36,active,False,247,247,1,1,1604631507,0,52,1,2,1,1,,,1604631600,1604631600,0,5
37,active,False,248,248,1,1,1604625819,0,46,1,52,0,1,,,1604631600,1604631600,1,0
38,active,False,249,249,1,1,1604631344,0,8,1,18,0,1,,,1604631600,1604631600,0,1
39,active,False,250,250,1,1,1604631523,0,23,1,15,0,2,,,1604631600,1604631600,0,4
40,active,False,251,251,1,1,1604631567,0,21,1,4,0,2,,,1604631600,1604631600,2,0
41,active,False,252,252,1,1,1604631401,0,21,1,12,3,0,,,1604631600,1604631600,0,1
42,active,False,254,254,1,1,1604630690,0,26,1,18,1,3,,,1604631600,1604631600,0,4
43,active,False,257,257,1,1,1604630100,0,6,1,33,0,0,,,1604631600,1604631600,0,0
44,active,False,258,258,1,1,1604631085,0,16,1,5,3,2,,,1604631600,1604631600,0,0
45,active,False,259,259,1,1,1604628397,0,30,1,6,1,3,,,1604631600,1604631600,1,0
46,active,False,260,260,1,1,1604628925,0,21,1,11,0,1,,,1604631600,1604631600,0,2
47,active,False,261,261,1,1,1604629650,0,8,1,33,0,0,,,1604631600,1604631600,1,0
48,active,False,262,262,1,1,1604631444,0,13,1,8,0,3,,,1604631600,1604631600,1,0
49,active,False,264,264,1,1,1604631519,0,4,1,22,1,1,,,1604631600,1604631600,3,0
50,active,False,265,265,1,1,1604631354,0,30,1,2,2,3,,,1604631600,1604631600,2,0
51,active,False,267,267,1,1,1604630807,0,11,1,53,0,6,,,1604631600,1604631600,1,0
52,active,False,268,268,1,1,1604630557,0,4,1,22,0,1,,,1604631600,1604631600,0,2
53,active,False,270,270,1,1,1604631430,0,7,1,15,2,1,,,1604631600,1604631600,0,1
54,active,False,274,274,1,1,1604629560,0,13,1,18,0,0,,,1604631600,1604631600,1,0
55,active,False,275,275,1,1,1604628311,0,5,1,13,0,1,,,1604631600,1604631600,0,0
56,active,False,276,276,1,1,1604626565,0,13,1,11,0,1,,,1604631600,1604631600,1,0
57,active,False,278,278,1,1,1604631241,0,3,1,15,1,1,,,1604631600,1604631600,0,0
