,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,station_id,is_renting,eightd_has_available_keys,num_docks_available,is_installed,last_reported,is_returning,legacy_id,num_docks_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,1,1,active,27,72,1,False,27,1,1604634009,1,72,0,,,1604635195,1604635195,1,0
1,0,1,active,18,79,1,False,14,1,1604635068,1,79,0,,,1604635195,1604635195,0,4
2,0,0,active,9,82,1,False,18,1,1604634676,1,82,0,,,1604635195,1604635195,1,0
3,0,0,active,43,83,1,False,19,1,1604633023,1,83,0,,,1604635195,1604635195,0,2
4,0,0,out_of_service,0,116,0,False,0,0,86400,0,116,0,,,1604635195,1604635195,0,0
5,1,2,active,51,119,1,False,0,1,1604632309,1,119,0,,,1604635195,1604635195,0,0
6,1,0,active,4,120,1,False,15,1,1604633597,1,120,0,,,1604635195,1604635195,0,0
7,1,2,active,28,127,1,False,1,1,1604635126,1,127,0,,,1604635195,1604635195,0,3
8,0,1,active,51,128,1,False,4,1,1604634107,1,128,0,,,1604635195,1604635195,0,4
9,0,0,active,10,143,1,False,14,1,1604633675,1,143,0,,,1604635195,1604635195,3,0
10,0,1,active,44,144,1,False,13,1,1604634254,1,144,0,,,1604635195,1604635195,0,0
11,1,1,active,21,146,1,False,17,1,1604634368,1,146,0,,,1604635195,1604635195,0,1
12,4,0,active,24,150,1,False,31,1,1604634846,1,150,0,,,1604635195,1604635195,0,1
13,0,2,active,26,151,1,True,5,1,1604633990,1,151,0,,,1604635195,1604635195,3,0
14,1,0,active,25,152,1,False,24,1,1604632349,1,152,0,,,1604635195,1604635195,0,1
15,1,0,active,21,157,1,False,2,1,1604634671,1,157,0,,,1604635195,1604635195,1,0
16,0,1,active,20,161,1,False,14,1,1604634298,1,161,0,,,1604635195,1604635195,0,2
17,4,0,active,47,164,0,False,0,1,1604631754,0,164,0,,,1604635195,1604635195,0,0
18,0,2,active,13,168,1,False,32,1,1604634537,1,168,0,,,1604635195,1604635195,0,1
19,0,1,active,1,173,1,False,68,1,1604634927,1,173,0,,,1604635195,1604635195,2,0
20,0,2,active,8,174,1,False,25,1,1604633587,1,174,0,,,1604635195,1604635195,6,0
21,1,1,active,29,212,1,False,30,1,1604634425,1,212,0,,,1604635195,1604635195,0,0
22,0,1,active,10,216,1,False,26,1,1604633576,1,216,0,,,1604635195,1604635195,0,0
