,station_id,is_installed,num_bikes_available,num_docks_available,num_docks_disabled,num_bikes_disabled,is_returning,num_ebikes_available,eightd_has_available_keys,is_renting,legacy_id,station_status,last_reported,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,72,1,26,29,0,0,1,1,False,1,72,active,1604681140,,,1604682000,1604682000,0,5
1,79,1,28,4,0,1,1,2,False,1,79,active,1604681403,,,1604682000,1604682000,2,0
2,82,1,8,19,0,0,1,1,False,1,82,active,1604681661,,,1604682000,1604682000,0,2
3,83,1,50,12,0,0,1,0,False,1,83,active,1604681968,,,1604682000,1604682000,0,1
4,116,0,0,0,0,0,0,0,False,0,116,out_of_service,86400,,,1604682000,1604682000,0,0
5,119,1,45,7,0,1,1,0,False,1,119,active,1604681431,,,1604682000,1604682000,1,0
6,120,1,2,17,0,0,1,0,False,1,120,active,1604681742,,,1604682000,1604682000,0,0
7,127,1,11,20,0,0,1,0,False,1,127,active,1604681702,,,1604682000,1604682000,0,7
8,128,1,19,33,0,4,1,0,False,1,128,active,1604681837,,,1604682000,1604682000,0,4
9,143,1,20,2,0,2,1,0,False,1,143,active,1604681934,,,1604682000,1604682000,0,0
10,144,1,46,12,0,0,1,0,False,1,144,active,1604680029,,,1604682000,1604682000,1,0
11,146,1,12,27,0,0,1,0,False,1,146,active,1604681964,,,1604682000,1604682000,0,0
12,150,1,12,43,0,0,1,0,False,1,150,active,1604681924,,,1604682000,1604682000,0,6
13,151,1,30,2,0,1,1,8,True,1,151,active,1604681962,,,1604682000,1604682000,2,0
14,152,1,23,26,0,0,1,1,False,1,152,active,1604681977,,,1604682000,1604682000,1,0
15,157,1,18,5,0,0,1,0,False,1,157,active,1604681907,,,1604682000,1604682000,0,1
16,161,1,18,17,0,0,1,1,False,1,161,active,1604681117,,,1604682000,1604682000,4,0
17,164,1,45,0,0,2,1,0,False,1,164,active,1604681317,,,1604682000,1604682000,0,3
18,168,1,24,22,0,1,1,3,False,1,168,active,1604681936,,,1604682000,1604682000,5,0
19,173,1,51,16,0,3,1,0,False,1,173,active,1604681513,,,1604682000,1604682000,0,0
20,174,1,29,4,0,2,1,0,False,1,174,active,1604681897,,,1604682000,1604682000,3,0
21,212,1,48,10,0,2,1,2,False,1,212,active,1604681935,,,1604682000,1604682000,6,0
22,216,1,0,37,0,0,1,0,False,1,216,active,1604680952,,,1604682000,1604682000,2,0
23,217,1,35,4,0,0,1,0,False,1,217,active,1604681849,,,1604682000,1604682000,0,1
24,223,1,13,20,0,0,1,0,False,1,223,active,1604681716,,,1604682000,1604682000,0,3
25,224,1,5,25,0,0,1,0,True,1,224,active,1604680826,,,1604682000,1604682000,0,3
26,228,1,46,6,0,3,1,7,False,1,228,active,1604681927,,,1604682000,1604682000,2,0
27,229,1,15,5,0,3,1,1,False,1,229,active,1604681879,,,1604682000,1604682000,1,0
28,236,1,23,23,0,1,1,0,False,1,236,active,1604681534,,,1604682000,1604682000,8,0
29,237,1,15,24,0,0,1,1,False,1,237,active,1604681743,,,1604682000,1604682000,0,9
30,238,1,14,17,0,0,1,0,False,1,238,active,1604681581,,,1604682000,1604682000,4,0
31,239,1,15,15,0,1,1,0,False,1,239,active,1604681524,,,1604682000,1604682000,2,0
32,241,1,19,2,0,2,1,1,False,1,241,active,1604681667,,,1604682000,1604682000,0,3
33,242,1,45,1,0,0,1,2,False,1,242,active,1604680607,,,1604682000,1604682000,1,0
34,244,1,4,27,0,0,1,1,False,1,244,active,1604679840,,,1604682000,1604682000,0,0
35,245,1,0,23,0,0,1,0,False,1,245,active,1604681390,,,1604682000,1604682000,2,0
36,247,1,30,25,0,0,1,1,False,1,247,active,1604681735,,,1604682000,1604682000,0,0
37,248,1,50,47,0,2,1,1,False,1,248,active,1604680578,,,1604682000,1604682000,0,0
38,249,1,4,23,0,0,1,1,False,1,249,active,1604681976,,,1604682000,1604682000,0,1
39,250,1,29,11,0,0,1,1,False,1,250,active,1604681981,,,1604682000,1604682000,4,0
40,251,1,7,13,0,7,1,1,False,1,251,active,1604681862,,,1604682000,1604682000,5,0
41,252,1,9,24,0,0,1,0,False,1,252,active,1604681486,,,1604682000,1604682000,3,0
42,254,1,20,25,1,1,1,0,False,1,254,active,1604681975,,,1604682000,1604682000,0,4
43,257,1,34,5,0,0,1,7,False,1,257,active,1604681846,,,1604682000,1604682000,3,0
44,258,1,8,14,0,1,1,0,False,1,258,active,1604681980,,,1604682000,1604682000,0,6
45,259,1,38,0,0,1,1,2,False,1,259,active,1604680283,,,1604682000,1604682000,0,0
46,260,1,31,1,0,1,1,1,False,1,260,active,1604681177,,,1604682000,1604682000,0,1
47,261,1,14,27,0,0,1,1,False,1,261,active,1604681979,,,1604682000,1604682000,0,0
48,262,1,6,16,0,2,1,1,False,1,262,active,1604681433,,,1604682000,1604682000,0,0
49,264,1,23,4,0,0,1,1,False,1,264,active,1604681649,,,1604682000,1604682000,0,1
50,265,1,24,10,0,1,1,1,False,1,265,active,1604680181,,,1604682000,1604682000,0,0
51,267,1,16,52,0,2,1,0,False,1,267,active,1604681911,,,1604682000,1604682000,1,0
52,268,1,14,13,0,0,1,0,False,1,268,active,1604681900,,,1604682000,1604682000,3,0
53,270,1,1,22,0,0,1,0,False,1,270,active,1604680183,,,1604682000,1604682000,0,0
54,274,1,10,20,0,1,1,0,False,1,274,active,1604681815,,,1604682000,1604682000,0,1
55,275,1,0,18,0,1,1,0,False,1,275,active,1604681425,,,1604682000,1604682000,2,0
56,276,1,10,15,0,0,1,0,False,1,276,active,1604681530,,,1604682000,1604682000,0,7
57,278,1,6,12,0,1,1,3,False,1,278,active,1604681393,,,1604682000,1604682000,0,2
58,280,0,0,0,0,0,0,0,False,0,280,out_of_service,86400,,,1604682000,1604682000,0,0
59,281,1,54,9,0,3,1,9,True,1,281,active,1604681632,,,1604682000,1604682000,1,0
60,282,1,9,17,0,1,1,0,False,1,282,active,1604681864,,,1604682000,1604682000,0,6
61,284,1,30,20,0,1,1,1,False,1,284,active,1604681986,,,1604682000,1604682000,0,4
62,285,1,34,19,0,0,1,3,True,1,285,active,1604681934,,,1604682000,1604682000,0,2
63,289,1,1,18,0,0,1,0,False,1,289,active,1604679837,,,1604682000,1604682000,0,0
64,291,1,11,9,0,0,1,0,False,1,291,active,1604681564,,,1604682000,1604682000,1,0
65,293,1,24,28,0,2,1,0,False,1,293,active,1604681944,,,1604682000,1604682000,4,0
66,295,1,0,0,0,0,0,0,False,0,295,active,86400,,,1604682000,1604682000,0,0
67,297,1,18,57,0,2,1,1,False,1,297,active,1604681972,,,1604682000,1604682000,11,0
68,298,1,32,1,0,2,1,0,False,1,298,active,1604681711,,,1604682000,1604682000,0,1
69,301,1,12,46,0,0,1,0,False,1,301,active,1604681959,,,1604682000,1604682000,0,6
70,302,1,1,34,0,2,1,0,False,1,302,active,1604681634,,,1604682000,1604682000,3,0
71,303,1,63,2,0,2,1,4,False,1,303,active,1604681953,,,1604682000,1604682000,0,2
