,legacy_id,station_status,is_returning,station_id,num_bikes_available,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,72,active,1,72,28,False,1604696105,1,0,1,1,26,2,,,1604696400,1604696400,2,0
1,79,active,1,79,32,False,1604696203,1,0,1,1,0,1,,,1604696400,1604696400,0,1
2,82,active,1,82,10,False,1604694407,1,0,0,1,17,0,,,1604696400,1604696400,6,0
3,83,active,1,83,48,False,1604696148,1,0,0,1,14,0,,,1604696400,1604696400,2,0
4,116,out_of_service,0,116,0,False,86400,0,0,0,0,0,0,,,1604696400,1604696400,0,0
5,119,active,1,119,46,False,1604693315,1,0,1,1,6,0,,,1604696400,1604696400,0,2
6,120,active,1,120,4,False,1604695844,1,0,0,1,15,0,,,1604696400,1604696400,0,3
7,127,active,1,127,15,False,1604696375,1,0,1,1,15,2,,,1604696400,1604696400,0,13
8,128,active,1,128,31,False,1604696385,1,0,5,1,20,2,,,1604696400,1604696400,8,0
9,143,active,1,143,11,False,1604696263,1,0,1,1,12,0,,,1604696400,1604696400,0,2
10,144,active,1,144,36,False,1604696271,1,0,1,1,21,0,,,1604696400,1604696400,3,0
11,146,active,1,146,9,False,1604696201,1,0,0,1,30,0,,,1604696400,1604696400,7,0
12,150,active,1,150,0,False,1604696230,1,0,0,1,55,0,,,1604696400,1604696400,4,0
13,151,active,1,151,26,True,1604696212,1,0,1,1,6,0,,,1604696400,1604696400,0,3
14,152,active,1,152,26,False,1604695990,1,0,0,1,23,0,,,1604696400,1604696400,0,1
15,157,active,1,157,16,False,1604695655,1,0,1,1,6,0,,,1604696400,1604696400,0,3
16,161,active,1,161,29,False,1604696290,1,0,0,1,6,0,,,1604696400,1604696400,0,0
17,164,active,1,164,37,False,1604695758,1,0,2,1,8,1,,,1604696400,1604696400,0,3
18,168,active,1,168,35,False,1604696176,1,0,0,1,12,0,,,1604696400,1604696400,1,0
19,173,active,1,173,50,False,1604696193,1,0,4,1,16,3,,,1604696400,1604696400,0,16
20,174,active,1,174,17,False,1604696152,1,0,1,1,17,0,,,1604696400,1604696400,0,2
21,212,active,1,212,58,False,1604696244,1,0,1,1,1,1,,,1604696400,1604696400,0,13
22,216,active,1,216,2,False,1604694143,1,0,0,1,35,0,,,1604696400,1604696400,0,2
23,217,active,1,217,33,False,1604696386,1,0,0,1,6,0,,,1604696400,1604696400,3,0
24,223,active,1,223,8,False,1604696246,1,0,1,1,24,0,,,1604696400,1604696400,0,3
25,224,active,1,224,4,True,1604695680,1,0,1,1,25,0,,,1604696400,1604696400,0,2
26,228,active,1,228,42,False,1604696385,1,0,1,1,12,0,,,1604696400,1604696400,3,0
27,229,active,1,229,16,False,1604696325,1,0,3,1,4,2,,,1604696400,1604696400,1,0
28,236,active,1,236,9,False,1604696269,1,0,4,1,34,1,,,1604696400,1604696400,8,0
29,237,active,1,237,10,False,1604696347,1,0,0,1,29,0,,,1604696400,1604696400,7,0
30,238,active,1,238,11,False,1604696280,1,0,0,1,20,1,,,1604696400,1604696400,15,0
31,239,active,1,239,19,False,1604696318,1,0,2,1,10,0,,,1604696400,1604696400,0,2
32,241,active,1,241,16,False,1604696327,1,0,2,1,5,0,,,1604696400,1604696400,3,0
33,242,active,1,242,45,False,1604690917,1,0,1,1,0,1,,,1604696400,1604696400,0,4
34,244,active,1,244,1,False,1604695881,1,0,1,1,29,1,,,1604696400,1604696400,3,0
35,245,active,1,245,5,False,1604695870,1,0,0,1,18,0,,,1604696400,1604696400,0,0
36,247,active,1,247,32,False,1604696360,1,0,1,1,22,1,,,1604696400,1604696400,0,4
37,248,active,1,248,53,False,1604696363,1,0,3,1,43,5,,,1604696400,1604696400,0,1
38,249,active,1,249,2,False,1604696177,1,0,0,1,25,0,,,1604696400,1604696400,3,0
39,250,active,1,250,35,False,1604696322,1,0,0,1,5,1,,,1604696400,1604696400,2,0
40,251,active,1,251,12,False,1604696391,1,0,6,1,9,0,,,1604696400,1604696400,0,2
41,252,active,1,252,13,False,1604696223,1,0,1,1,19,1,,,1604696400,1604696400,5,0
42,254,active,1,254,17,False,1604696334,1,1,1,1,28,1,,,1604696400,1604696400,0,5
43,257,active,1,257,37,False,1604696194,1,0,0,1,2,1,,,1604696400,1604696400,0,2
44,258,active,1,258,5,False,1604696067,1,0,1,1,17,0,,,1604696400,1604696400,0,5
45,259,active,1,259,32,False,1604696379,1,0,4,1,3,4,,,1604696400,1604696400,0,2
46,260,active,1,260,26,False,1604695696,1,0,1,1,6,0,,,1604696400,1604696400,0,0
47,261,active,1,261,15,False,1604696145,1,0,1,1,25,0,,,1604696400,1604696400,3,0
48,262,active,1,262,10,False,1604696204,1,0,1,1,13,0,,,1604696400,1604696400,3,0
49,264,active,1,264,20,False,1604696391,1,0,0,1,7,0,,,1604696400,1604696400,1,0
50,265,active,1,265,27,False,1604696345,1,0,3,1,5,0,,,1604696400,1604696400,0,2
51,267,active,1,267,14,False,1604696381,1,0,1,1,55,1,,,1604696400,1604696400,0,0
52,268,active,1,268,25,False,1604696350,1,0,0,1,2,0,,,1604696400,1604696400,0,1
53,270,active,1,270,1,False,1604696118,1,0,0,1,22,0,,,1604696400,1604696400,2,0
54,274,active,1,274,9,False,1604696241,1,0,2,1,20,2,,,1604696400,1604696400,0,2
55,275,active,1,275,2,False,1604696359,1,0,1,1,16,1,,,1604696400,1604696400,0,1
56,276,active,1,276,10,False,1604696388,1,0,0,1,15,1,,,1604696400,1604696400,0,3
57,278,active,1,278,0,False,1604695774,1,0,0,1,19,0,,,1604696400,1604696400,1,0
58,280,out_of_service,0,280,0,False,86400,0,0,0,0,0,0,,,1604696400,1604696400,0,0
59,281,active,1,281,22,True,1604696330,1,0,3,1,41,0,,,1604696400,1604696400,0,22
60,282,active,1,282,0,False,1604696199,1,0,2,1,25,0,,,1604696400,1604696400,8,0
61,284,active,1,284,38,False,1604696316,1,0,3,1,10,2,,,1604696400,1604696400,6,0
62,285,active,1,285,48,True,1604696309,1,0,1,1,4,2,,,1604696400,1604696400,0,15
63,289,active,1,289,1,False,1604695926,1,0,0,1,18,1,,,1604696400,1604696400,0,1
64,291,active,1,291,12,False,1604696381,1,0,0,1,8,1,,,1604696400,1604696400,0,1
65,293,active,1,293,44,False,1604696220,1,0,2,1,8,0,,,1604696400,1604696400,0,3
66,295,active,0,295,21,False,1604695527,1,0,2,0,1,2,,,1604696400,1604696400,0,0
67,297,active,1,297,16,False,1604696268,1,0,0,1,61,1,,,1604696400,1604696400,0,5
68,298,active,1,298,26,False,1604696391,1,0,0,1,9,1,,,1604696400,1604696400,0,1
69,301,active,1,301,5,False,1604696337,1,0,0,1,53,0,,,1604696400,1604696400,0,0
70,302,active,1,302,12,False,1604696318,1,0,2,1,23,0,,,1604696400,1604696400,0,5
71,303,active,1,303,60,False,1604696388,1,0,2,1,5,0,,,1604696400,1604696400,0,22
72,304,active,1,304,26,True,1604695840,1,26,1,1,0,7,"{'active': True, 'dock_blocked_count': 26, 'valet_revision': 8689, 'station_id': '66db6da2-0aca-11e7-82f6-3863bb44ef7c', 'off_dock_capacity': 70, 'region': 'BKN', 'off_dock_count': 22}",[{'id': '66db6da2-0aca-11e7-82f6-3863bb44ef7c'}],1604696400,1604696400,0,1
