,legacy_id,num_ebikes_available,num_docks_disabled,is_renting,station_status,eightd_has_available_keys,is_returning,is_installed,station_id,last_reported,num_docks_available,num_bikes_available,num_bikes_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,72,0,0,1,active,False,1,1,72,1604703489,23,29,3,,,1604703605,1604703605,0,2
1,79,0,0,1,active,False,1,1,79,1604703502,4,29,0,,,1604703605,1604703605,0,6
2,82,2,0,1,active,False,1,1,82,1604703322,11,16,0,,,1604703605,1604703605,3,0
3,83,0,0,1,active,False,1,1,83,1604702195,12,50,0,,,1604703605,1604703605,0,3
4,116,0,0,0,out_of_service,False,0,0,116,86400,0,0,0,,,1604703605,1604703605,0,0
5,119,0,0,1,active,False,1,1,119,1604703580,7,46,0,,,1604703605,1604703605,0,1
6,120,0,0,1,active,False,1,1,120,1604702718,17,2,0,,,1604703605,1604703605,1,0
7,127,1,0,1,active,False,1,1,127,1604703347,22,9,0,,,1604703605,1604703605,3,0
8,128,2,0,1,active,False,1,1,128,1604703536,13,40,3,,,1604703605,1604703605,12,0
9,143,0,0,1,active,False,1,1,143,1604702975,13,10,1,,,1604703605,1604703605,2,0
10,144,0,0,1,active,False,1,1,144,1604703521,18,37,3,,,1604703605,1604703605,0,0
11,146,0,0,1,active,False,1,1,146,1604703583,27,12,0,,,1604703605,1604703605,0,0
12,150,1,0,1,active,False,1,1,150,1604703474,49,5,1,,,1604703605,1604703605,0,1
13,151,2,0,1,active,True,1,1,151,1604703508,0,31,2,,,1604703605,1604703605,0,9
14,152,0,0,1,active,False,1,1,152,1604701906,26,23,0,,,1604703605,1604703605,0,1
15,157,0,0,1,active,False,1,1,157,1604703509,2,19,2,,,1604703605,1604703605,0,0
16,161,1,0,1,active,False,1,1,161,1604703481,0,35,0,,,1604703605,1604703605,0,3
17,164,0,0,1,active,False,1,1,164,1604703005,12,33,2,,,1604703605,1604703605,3,0
18,168,1,0,1,active,False,1,1,168,1604703421,7,40,0,,,1604703605,1604703605,3,0
19,173,0,0,1,active,False,1,1,173,1604703571,49,19,2,,,1604703605,1604703605,0,1
20,174,0,0,1,active,False,1,1,174,1604703456,26,8,1,,,1604703605,1604703605,0,8
21,212,0,0,1,active,False,1,1,212,1604703552,12,48,0,,,1604703605,1604703605,0,5
22,216,0,0,1,active,False,1,1,216,1604703362,31,6,0,,,1604703605,1604703605,5,0
23,217,0,0,1,active,False,1,1,217,1604702969,0,36,3,,,1604703605,1604703605,0,10
24,223,1,0,1,active,False,1,1,223,1604703275,28,4,1,,,1604703605,1604703605,12,0
25,224,0,0,1,active,True,1,1,224,1604702770,27,1,2,,,1604703605,1604703605,0,0
26,228,0,0,1,active,False,1,1,228,1604702865,21,33,1,,,1604703605,1604703605,0,8
27,229,0,0,1,active,False,1,1,229,1604703411,3,16,4,,,1604703605,1604703605,3,0
28,236,2,0,1,active,False,1,1,236,1604703486,20,23,4,,,1604703605,1604703605,13,0
29,237,2,0,1,active,False,1,1,237,1604703303,0,38,1,,,1604703605,1604703605,0,4
30,238,2,0,1,active,False,1,1,238,1604703594,6,23,2,,,1604703605,1604703605,6,0
31,239,0,0,1,active,False,1,1,239,1604703505,14,16,1,,,1604703605,1604703605,2,0
32,241,0,0,1,active,False,1,1,241,1604703291,0,20,3,,,1604703605,1604703605,0,1
33,242,0,0,1,active,False,1,1,242,1604702846,7,39,0,,,1604703605,1604703605,0,2
34,244,0,0,1,active,False,1,1,244,1604702994,27,3,1,,,1604703605,1604703605,1,0
35,245,0,0,1,active,False,1,1,245,1604702550,17,5,1,,,1604703605,1604703605,0,0
36,247,4,0,1,active,False,1,1,247,1604703591,8,46,1,,,1604703605,1604703605,6,0
