,last_reported,station_id,is_installed,station_status,legacy_id,eightd_has_available_keys,num_docks_available,is_returning,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,1604782614,72,1,active,72,False,43,1,0,4,8,1,1,,,1604782800,1604782800,0,6
1,1604782233,79,1,active,79,False,0,1,0,1,32,1,1,,,1604782800,1604782800,0,1
2,1604782027,82,1,active,82,False,7,1,0,0,20,0,1,,,1604782800,1604782800,5,0
3,1604782669,83,1,active,83,False,30,1,0,7,25,0,1,,,1604782800,1604782800,0,4
4,86400,116,0,out_of_service,116,False,0,0,0,0,0,0,0,,,1604782800,1604782800,0,0
5,1604782270,119,1,active,119,False,6,1,0,1,46,1,1,,,1604782800,1604782800,0,0
6,1604782590,120,1,active,120,False,16,1,0,2,1,0,1,,,1604782800,1604782800,0,1
7,1604782168,127,1,active,127,False,0,1,0,3,28,1,1,,,1604782800,1604782800,0,0
8,1604782736,128,1,active,128,False,0,1,0,5,51,0,1,,,1604782800,1604782800,1,0
9,1604782775,143,1,active,143,False,21,1,0,1,2,0,1,,,1604782800,1604782800,0,1
10,1604782460,144,1,active,144,False,15,1,0,1,42,0,1,,,1604782800,1604782800,1,0
11,1604782704,146,1,active,146,False,35,1,0,0,4,0,1,,,1604782800,1604782800,4,0
12,1604782725,150,1,active,150,False,43,1,0,0,12,0,1,,,1604782800,1604782800,7,0
13,1604782720,151,1,active,151,True,0,1,0,6,27,0,1,,,1604782800,1604782800,0,4
14,1604782636,152,1,active,152,False,48,1,0,0,1,1,1,,,1604782800,1604782800,0,0
15,1604781877,157,1,active,157,False,4,1,0,5,14,0,1,,,1604782800,1604782800,0,3
16,1604782631,161,1,active,161,False,0,1,0,5,30,1,1,,,1604782800,1604782800,0,3
17,1604782461,164,1,active,164,False,44,1,0,0,3,0,1,,,1604782800,1604782800,1,0
18,1604782751,168,1,active,168,False,6,1,0,1,40,1,1,,,1604782800,1604782800,1,0
19,1604782643,173,1,active,173,False,29,1,0,3,38,0,1,,,1604782800,1604782800,0,11
20,1604782682,174,1,active,174,False,3,1,9,21,2,0,1,,,1604782800,1604782800,4,0
21,1604782646,212,1,active,212,False,3,1,0,2,55,1,1,,,1604782800,1604782800,2,0
22,1604782263,216,1,active,216,False,34,1,0,1,2,0,1,,,1604782800,1604782800,10,0
23,1604782400,217,1,active,217,False,0,1,0,3,36,1,1,,,1604782800,1604782800,2,0
24,1604782706,223,1,active,223,False,0,1,0,2,31,0,1,,,1604782800,1604782800,0,1
