,legacy_id,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,num_bikes_available,num_bikes_disabled,is_renting,last_reported,is_installed,num_docks_disabled,is_returning,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,72,4,active,False,33,19,3,1,1604980688,1,0,1,72,,,1604980805,1604980805,0,0
1,79,0,active,False,8,24,1,1,1604977548,1,0,1,79,,,1604980805,1604980805,0,2
2,82,0,active,False,0,27,0,1,1604976678,1,0,1,82,,,1604980805,1604980805,0,0
3,83,0,active,False,48,12,2,1,1604979349,1,0,1,83,,,1604980805,1604980805,0,0
4,116,0,out_of_service,False,0,0,0,0,86400,0,0,0,116,,,1604980805,1604980805,0,0
5,119,1,active,False,9,44,0,1,1604979123,1,0,1,119,,,1604980805,1604980805,1,0
6,120,4,active,False,10,8,1,1,1604978904,1,0,1,120,,,1604980805,1604980805,0,1
7,127,0,active,False,5,25,1,1,1604978779,1,0,1,127,,,1604980805,1604980805,1,0
8,128,1,active,False,23,30,3,1,1604980285,1,0,1,128,,,1604980805,1604980805,0,2
9,143,0,active,False,10,13,1,1,1604980521,1,0,1,143,,,1604980805,1604980805,1,0
10,144,1,active,False,1,56,1,1,1604980757,1,0,1,144,,,1604980805,1604980805,0,0
11,146,0,active,False,4,33,2,1,1604978153,1,0,1,146,,,1604980805,1604980805,0,0
12,150,10,active,False,18,35,2,1,1604980399,1,0,1,150,,,1604980805,1604980805,4,0
13,151,0,active,True,26,2,5,1,1604980407,1,0,1,151,,,1604980805,1604980805,1,0
14,152,0,active,False,9,39,1,1,1604980367,1,0,1,152,,,1604980805,1604980805,0,0
15,157,1,active,False,3,18,2,1,1604979511,1,0,1,157,,,1604980805,1604980805,0,2
16,161,0,active,False,11,23,1,1,1604980172,1,0,1,161,,,1604980805,1604980805,0,0
17,164,1,active,False,31,11,5,1,1604979197,1,0,1,164,,,1604980805,1604980805,0,0
18,168,0,active,False,35,11,1,1,1604979791,1,0,1,168,,,1604980805,1604980805,0,2
19,173,0,active,False,43,25,2,1,1604980074,1,0,1,173,,,1604980805,1604980805,0,2
20,174,3,active,False,8,22,0,1,1604980468,1,0,1,174,,,1604980805,1604980805,3,0
21,212,0,active,False,17,41,2,1,1604978987,1,0,1,212,,,1604980805,1604980805,1,0
22,216,0,active,False,26,9,2,1,1604976810,1,0,1,216,,,1604980805,1604980805,0,0
23,217,0,active,False,10,27,2,1,1604979908,1,0,1,217,,,1604980805,1604980805,0,1
24,223,1,active,False,3,26,4,1,1604980455,1,0,1,223,,,1604980805,1604980805,1,0
25,224,1,active,True,22,6,2,1,1604980214,1,0,1,224,,,1604980805,1604980805,1,0
26,228,0,active,False,52,2,1,1,1604977447,1,0,1,228,,,1604980805,1604980805,0,0
27,229,0,active,False,19,0,4,1,1604979612,1,0,1,229,,,1604980805,1604980805,1,0
28,236,3,active,False,0,47,0,0,1604979500,1,0,0,236,,,1604980805,1604980805,0,0
29,237,0,active,False,9,27,3,1,1604980110,1,0,1,237,,,1604980805,1604980805,0,0
30,238,0,active,False,6,23,2,1,1604979364,1,0,1,238,,,1604980805,1604980805,2,0
31,239,0,active,False,8,22,1,1,1604979322,1,0,1,239,,,1604980805,1604980805,0,1
32,241,1,active,False,7,13,3,1,1604979387,1,0,1,241,,,1604980805,1604980805,3,0
33,242,0,active,False,14,32,0,1,1604973628,1,0,1,242,,,1604980805,1604980805,0,0
34,244,1,active,False,26,4,1,1,1604979724,1,0,1,244,,,1604980805,1604980805,3,0
35,245,0,active,False,11,12,0,1,1604980583,1,0,1,245,,,1604980805,1604980805,0,0
36,247,0,active,False,7,46,2,1,1604980340,1,0,1,247,,,1604980805,1604980805,0,0
37,248,0,active,False,3,95,1,1,1604977618,1,0,1,248,,,1604980805,1604980805,0,0
38,249,0,active,False,9,17,1,1,1604980716,1,0,1,249,,,1604980805,1604980805,0,0
39,250,1,active,False,14,26,0,1,1604980559,1,0,1,250,,,1604980805,1604980805,0,3
40,251,0,active,False,6,17,4,1,1604980372,1,0,1,251,,,1604980805,1604980805,1,0
41,252,2,active,False,3,29,1,1,1604979514,1,0,1,252,,,1604980805,1604980805,0,2
42,254,0,active,False,17,27,3,1,1604980488,1,0,1,254,,,1604980805,1604980805,0,1
43,257,0,active,False,35,1,3,1,1604979482,1,0,1,257,,,1604980805,1604980805,4,0
44,258,1,active,False,10,11,2,1,1604980360,1,0,1,258,,,1604980805,1604980805,0,0
45,259,0,active,False,7,30,2,1,1604978662,1,0,1,259,,,1604980805,1604980805,2,0
46,260,1,active,False,23,9,1,1,1604980014,1,0,1,260,,,1604980805,1604980805,0,0
47,261,1,active,False,25,16,0,1,1604980391,1,0,1,261,,,1604980805,1604980805,1,0
48,262,0,active,False,14,6,4,1,1604980674,1,0,1,262,,,1604980805,1604980805,1,0
49,264,0,active,False,1,25,1,1,1604975152,1,0,1,264,,,1604980805,1604980805,0,0
50,265,0,active,False,2,33,0,1,1604979515,1,0,1,265,,,1604980805,1604980805,1,0
51,267,0,active,False,69,0,1,1,1604976279,1,0,1,267,,,1604980805,1604980805,0,0
52,268,1,active,False,15,10,2,1,1604980623,1,0,1,268,,,1604980805,1604980805,0,0
53,270,1,active,False,5,18,0,1,1604980356,1,0,1,270,,,1604980805,1604980805,0,2
54,274,1,active,False,24,6,1,1,1604978786,1,0,1,274,,,1604980805,1604980805,5,0
55,275,1,active,False,15,4,0,1,1604979926,1,0,1,275,,,1604980805,1604980805,0,0
56,276,0,active,False,1,24,0,1,1604979700,1,0,1,276,,,1604980805,1604980805,0,0
57,278,0,active,False,0,19,0,1,1604978470,1,0,1,278,,,1604980805,1604980805,0,0
58,280,0,out_of_service,False,0,0,0,0,86400,0,0,0,280,,,1604980805,1604980805,0,0
59,281,3,active,True,59,4,3,1,1604980302,1,0,1,281,,,1604980805,1604980805,0,1
60,282,2,active,False,3,20,4,1,1604980517,1,0,1,282,,,1604980805,1604980805,2,0
61,284,0,active,False,8,42,1,1,1604979135,1,0,1,284,,,1604980805,1604980805,1,0
62,285,0,active,True,31,19,3,1,1604980766,1,0,1,285,,,1604980805,1604980805,0,1
63,289,0,active,False,14,5,0,1,1604980709,1,0,1,289,,,1604980805,1604980805,1,0
64,291,4,active,False,3,13,4,1,1604980248,1,0,1,291,,,1604980805,1604980805,0,0
65,293,0,active,False,18,36,0,1,1604980538,1,0,1,293,,,1604980805,1604980805,3,0
66,295,1,active,False,0,24,0,1,1604978396,1,0,1,295,,,1604980805,1604980805,0,3
67,297,0,active,False,47,30,0,1,1604980301,1,0,1,297,,,1604980805,1604980805,2,0
68,298,2,active,False,14,20,1,1,1604979910,1,0,1,298,,,1604980805,1604980805,0,0
69,301,3,active,False,1,55,2,1,1604979765,1,0,1,301,,,1604980805,1604980805,1,0
70,302,4,active,False,11,23,3,1,1604979806,1,0,1,302,,,1604980805,1604980805,0,2
71,303,0,active,False,35,29,3,1,1604978298,1,0,1,303,,,1604980805,1604980805,0,0
72,304,3,active,False,5,26,2,1,1604980532,1,0,1,304,,,1604980805,1604980805,0,3
73,305,0,active,False,30,0,3,1,1604975923,1,0,1,305,,,1604980805,1604980805,0,0
74,307,1,active,False,1,26,3,1,1604980781,1,0,1,307,,,1604980805,1604980805,0,0
75,308,0,active,False,0,44,4,1,1604977817,1,0,1,308,,,1604980805,1604980805,0,0
76,309,0,active,False,20,18,3,1,1604979840,1,0,1,309,,,1604980805,1604980805,2,0
77,310,3,active,False,15,51,0,1,1604979976,1,0,1,310,,,1604980805,1604980805,0,0
78,311,0,active,False,4,26,1,1,1604980561,1,0,1,311,,,1604980805,1604980805,3,0
79,312,0,active,False,2,28,3,1,1604980784,1,0,1,312,,,1604980805,1604980805,1,0
80,313,0,active,False,19,36,0,1,1604979232,1,0,1,313,,,1604980805,1604980805,0,1
81,315,0,active,False,23,5,1,1,1604978161,1,0,1,315,,,1604980805,1604980805,0,0
82,316,0,active,False,28,14,1,1,1604978859,1,0,1,316,,,1604980805,1604980805,0,0
83,317,6,active,False,0,53,1,1,1604979964,1,0,1,317,,,1604980805,1604980805,0,0
84,319,0,active,False,22,9,2,1,1604979657,1,0,1,319,,,1604980805,1604980805,0,2
85,320,0,active,False,2,35,2,1,1604980348,1,0,1,320,,,1604980805,1604980805,2,0
86,321,2,active,False,6,30,3,1,1604979500,1,0,1,321,,,1604980805,1604980805,0,1
87,323,1,active,False,10,29,0,1,1604979243,1,0,1,323,,,1604980805,1604980805,0,2
88,324,0,active,False,15,59,0,1,1604980250,1,0,1,324,,,1604980805,1604980805,0,1
89,325,0,active,False,4,29,2,1,1604980565,1,0,1,325,,,1604980805,1604980805,4,0
90,326,1,active,False,5,33,3,1,1604979847,1,0,1,326,,,1604980805,1604980805,0,2
91,327,0,active,True,6,31,2,1,1604977822,1,0,1,327,,,1604980805,1604980805,0,0
92,328,0,active,False,13,21,1,1,1604977747,1,0,1,328,,,1604980805,1604980805,0,0
93,330,0,active,False,21,16,2,1,1604975144,1,0,1,330,,,1604980805,1604980805,0,0
94,331,0,active,False,0,26,1,1,1604979275,1,0,1,331,,,1604980805,1604980805,0,0
95,332,0,active,False,8,26,2,1,1604980365,1,0,1,332,,,1604980805,1604980805,2,0
96,334,0,active,False,14,14,3,1,1604979319,1,0,1,334,,,1604980805,1604980805,0,0
97,335,3,active,False,17,9,1,1,1604979639,1,0,1,335,,,1604980805,1604980805,0,4
98,336,0,active,False,9,23,4,1,1604980677,1,0,1,336,,,1604980805,1604980805,0,0
99,340,1,active,False,0,23,4,1,1604979858,1,0,1,340,,,1604980805,1604980805,0,0
100,341,3,active,False,2,17,0,1,1604979623,1,0,1,341,,,1604980805,1604980805,1,0
101,342,3,active,False,1,26,1,1,1604979347,1,1,1,342,,,1604980805,1604980805,0,0
102,343,0,active,False,10,12,1,1,1604978247,1,0,1,343,,,1604980805,1604980805,0,0
103,344,0,active,False,16,4,3,1,1604980606,1,0,1,344,,,1604980805,1604980805,1,0
104,346,0,active,False,0,24,3,1,1604980742,1,0,1,346,,,1604980805,1604980805,0,4
105,347,0,active,False,28,25,1,1,1604979661,1,0,1,347,,,1604980805,1604980805,0,6
106,349,1,active,False,0,60,1,0,1604888322,1,0,0,349,,,1604980805,1604980805,0,0
107,350,1,active,False,5,40,1,1,1604980338,1,1,1,350,,,1604980805,1604980805,1,0
108,351,0,active,False,8,31,0,1,1604978607,1,0,1,351,,,1604980805,1604980805,1,0
109,353,0,active,False,20,5,2,1,1604976722,1,0,1,353,,,1604980805,1604980805,1,0
110,354,2,active,False,37,9,1,1,1604975935,1,0,1,354,,,1604980805,1604980805,0,0
111,355,0,active,False,4,37,2,1,1604980269,1,0,1,355,,,1604980805,1604980805,1,0
112,356,1,active,False,1,20,2,1,1604980374,1,0,1,356,,,1604980805,1604980805,1,0
113,358,1,active,False,0,46,4,1,1604980457,1,0,1,358,,,1604980805,1604980805,0,0
114,359,0,active,False,75,1,2,1,1604980758,1,0,1,359,,,1604980805,1604980805,0,0
115,360,0,active,False,11,27,1,1,1604980432,1,0,1,360,,,1604980805,1604980805,4,0
116,361,0,active,False,0,78,1,0,1604976251,1,0,0,361,,,1604980805,1604980805,0,0
117,362,0,active,False,57,0,0,1,1604972907,1,0,1,362,,,1604980805,1604980805,0,0
118,363,0,out_of_service,False,3,0,0,0,1604843856,0,0,0,363,,,1604980805,1604980805,0,0
119,364,1,active,False,17,10,0,1,1604979473,1,0,1,364,,,1604980805,1604980805,1,0
120,366,1,active,False,14,17,2,1,1604980632,1,0,1,366,,,1604980805,1604980805,1,0
121,367,0,active,False,42,0,1,1,1604974804,1,0,1,367,,,1604980805,1604980805,1,0
122,368,0,active,False,13,31,2,1,1604980095,1,1,1,368,,,1604980805,1604980805,0,1
123,369,0,active,False,1,73,0,1,1604980087,1,2,1,369,,,1604980805,1604980805,0,1
124,372,0,active,False,24,3,0,1,1604977356,1,0,1,372,,,1604980805,1604980805,1,0
125,373,1,active,False,16,2,1,1,1604975808,1,0,1,373,,,1604980805,1604980805,0,0
126,376,0,active,False,2,40,0,1,1604978689,1,0,1,376,,,1604980805,1604980805,1,0
127,377,0,active,False,3,43,2,1,1604979830,1,0,1,377,,,1604980805,1604980805,0,1
128,379,0,active,False,29,26,1,1,1604980062,1,0,1,379,,,1604980805,1604980805,1,0
129,380,0,active,False,9,31,2,1,1604980744,1,0,1,380,,,1604980805,1604980805,0,4
130,383,0,active,False,9,29,0,1,1604980270,1,1,1,383,,,1604980805,1604980805,0,0
131,385,1,active,False,17,12,0,1,1604980758,1,0,1,385,,,1604980805,1604980805,0,4
132,386,0,active,False,28,50,4,1,1604979123,1,0,1,386,,,1604980805,1604980805,0,0
133,387,0,active,False,14,24,1,1,1604980535,1,0,1,387,,,1604980805,1604980805,1,0
134,388,0,active,False,27,8,0,1,1604976780,1,0,1,388,,,1604980805,1604980805,0,1
135,389,8,active,False,0,27,0,0,1604969417,1,0,0,389,,,1604980805,1604980805,0,0
136,390,0,active,False,18,12,1,1,1604980657,1,0,1,390,,,1604980805,1604980805,0,0
137,391,0,active,False,0,0,0,1,86400,1,0,1,391,,,1604980805,1604980805,0,0
138,392,1,active,False,17,17,1,1,1604980506,1,0,1,392,,,1604980805,1604980805,0,1
139,393,6,active,False,0,36,1,1,1604980664,1,0,1,393,,,1604980805,1604980805,0,2
140,394,0,out_of_service,False,0,0,0,0,86400,0,0,0,394,,,1604980805,1604980805,0,0
141,396,1,active,False,23,2,0,1,1604974002,1,0,1,396,,,1604980805,1604980805,0,0
142,397,2,active,False,62,12,1,1,1604976275,1,0,1,397,,,1604980805,1604980805,1,0
143,398,3,active,False,11,18,2,1,1604978472,1,0,1,398,,,1604980805,1604980805,0,1
144,399,3,active,False,29,10,0,1,1604980157,1,0,1,399,,,1604980805,1604980805,0,2
145,400,1,active,False,1,13,1,1,1604980398,1,0,1,400,,,1604980805,1604980805,0,0
146,401,0,active,False,2,40,0,1,1604980423,1,0,1,401,,,1604980805,1604980805,2,0
