,station_status,num_ebikes_available,eightd_has_available_keys,num_bikes_available,last_reported,num_docks_available,station_id,num_bikes_disabled,num_docks_disabled,is_installed,is_renting,is_returning,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,active,0,False,8,1605041830,44,72,3,0,1,1,1,72,,,1605041995,1605041995,0,3
1,active,1,False,32,1605041714,0,79,1,0,1,1,1,79,,,1605041995,1605041995,0,3
2,active,0,False,23,1605040626,4,82,0,0,1,1,1,82,,,1605041995,1605041995,2,0
3,active,0,False,21,1605041812,40,83,1,0,1,1,1,83,,,1605041995,1605041995,2,0
4,out_of_service,0,False,0,86400,0,116,0,0,0,0,0,116,,,1605041995,1605041995,0,0
5,active,0,False,41,1605041974,11,119,1,0,1,1,1,119,,,1605041995,1605041995,1,0
6,active,0,False,2,1605041394,17,120,0,0,1,1,1,120,,,1605041995,1605041995,0,1
7,active,0,False,1,1605041922,29,127,1,0,1,1,1,127,,,1605041995,1605041995,0,0
8,active,1,False,29,1605041965,24,128,3,0,1,1,1,128,,,1605041995,1605041995,4,0
9,active,2,False,7,1605041969,16,143,1,0,1,1,1,143,,,1605041995,1605041995,0,0
10,active,1,False,43,1605040346,13,144,2,0,1,1,1,144,,,1605041995,1605041995,0,1
11,active,0,False,36,1605041729,2,146,1,0,1,1,1,146,,,1605041995,1605041995,2,0
12,active,1,False,11,1605041911,43,150,1,0,1,1,1,150,,,1605041995,1605041995,0,5
13,active,6,True,30,1605041861,0,151,3,0,1,1,1,151,,,1605041995,1605041995,0,10
14,active,0,False,47,1605041752,2,152,0,0,1,1,1,152,,,1605041995,1605041995,0,2
15,active,0,False,5,1605041879,16,157,2,0,1,1,1,157,,,1605041995,1605041995,6,0
16,active,0,False,29,1605041927,6,161,0,0,1,1,1,161,,,1605041995,1605041995,0,9
17,active,1,False,30,1605041450,12,164,5,0,1,1,1,164,,,1605041995,1605041995,0,6
18,active,0,False,43,1605041951,1,168,3,0,1,1,1,168,,,1605041995,1605041995,0,2
19,active,0,False,46,1605041962,20,173,4,0,1,1,1,173,,,1605041995,1605041995,0,6
20,active,0,False,25,1605041620,9,174,1,0,1,1,1,174,,,1605041995,1605041995,0,15
21,active,1,False,38,1605041893,18,212,4,0,1,1,1,212,,,1605041995,1605041995,0,1
22,active,0,False,7,1605041065,29,216,1,0,1,1,1,216,,,1605041995,1605041995,0,1
23,active,0,False,31,1605041324,7,217,1,0,1,1,1,217,,,1605041995,1605041995,7,0
24,active,0,False,21,1605041976,8,223,4,0,1,1,1,223,,,1605041995,1605041995,6,0
25,active,0,True,7,1605041611,20,224,3,0,1,1,1,224,,,1605041995,1605041995,0,2
26,active,6,False,47,1605041654,7,228,1,0,1,1,1,228,,,1605041995,1605041995,0,1
27,active,0,False,10,1605041941,10,229,3,0,1,1,1,229,,,1605041995,1605041995,10,0
28,active,0,False,0,86400,0,236,0,0,1,1,1,236,,,1605041995,1605041995,0,0
29,active,0,False,10,1605041932,28,237,1,0,1,1,1,237,,,1605041995,1605041995,4,0
30,active,2,False,14,1605041748,15,238,2,0,1,1,1,238,,,1605041995,1605041995,3,0
31,active,0,False,29,1605041366,2,239,0,0,1,1,1,239,,,1605041995,1605041995,0,8
32,active,1,False,10,1605041970,11,241,2,0,1,1,1,241,,,1605041995,1605041995,2,0
33,active,0,False,39,1605040987,7,242,0,0,1,1,1,242,,,1605041995,1605041995,0,0
34,active,0,False,1,1605041870,28,244,2,0,1,1,1,244,,,1605041995,1605041995,1,0
35,active,0,False,17,1605041658,6,245,0,0,1,1,1,245,,,1605041995,1605041995,1,0
36,active,1,False,11,1605041866,43,247,1,0,1,1,1,247,,,1605041995,1605041995,0,6
37,active,0,False,92,1605041896,6,248,1,0,1,1,1,248,,,1605041995,1605041995,0,3
38,active,0,False,25,1605041814,0,249,2,0,1,1,1,249,,,1605041995,1605041995,1,0
39,active,4,False,32,1605041951,3,250,5,0,1,1,1,250,,,1605041995,1605041995,0,2
40,active,2,False,22,1605041948,3,251,2,0,1,1,1,251,,,1605041995,1605041995,0,0
41,active,1,False,32,1605041975,1,252,0,0,1,1,1,252,,,1605041995,1605041995,0,3
42,active,0,False,6,1605041899,38,254,2,1,1,1,1,254,,,1605041995,1605041995,6,0
43,active,2,False,35,1605041323,0,257,4,0,1,1,1,257,,,1605041995,1605041995,1,0
44,active,1,False,4,1605041959,17,258,2,0,1,1,1,258,,,1605041995,1605041995,0,1
45,active,0,False,38,1605041773,1,259,0,0,1,1,1,259,,,1605041995,1605041995,1,0
46,active,0,False,27,1605041930,6,260,0,0,1,1,1,260,,,1605041995,1605041995,0,2
47,active,0,False,15,1605041949,26,261,0,0,1,1,1,261,,,1605041995,1605041995,0,0
48,active,0,False,4,1605041688,20,262,0,0,1,1,1,262,,,1605041995,1605041995,1,0
49,active,2,False,18,1605041927,6,264,3,0,1,1,1,264,,,1605041995,1605041995,0,2
50,active,0,False,22,1605041448,13,265,0,0,1,1,1,265,,,1605041995,1605041995,0,1
51,active,0,False,7,1605041946,62,267,1,0,1,1,1,267,,,1605041995,1605041995,0,2
52,active,0,False,27,1605041826,0,268,0,0,1,1,1,268,,,1605041995,1605041995,0,0
53,active,0,False,5,1605041955,15,270,3,0,1,1,1,270,,,1605041995,1605041995,1,0
54,active,1,False,1,1605041754,28,274,2,0,1,1,1,274,,,1605041995,1605041995,0,0
55,active,1,False,6,1605041806,12,275,1,0,1,1,1,275,,,1605041995,1605041995,2,0
56,active,0,False,21,1605041694,3,276,1,0,1,1,1,276,,,1605041995,1605041995,4,0
57,active,0,False,12,1605041565,7,278,0,0,1,1,1,278,,,1605041995,1605041995,0,3
