,eightd_has_available_keys,num_ebikes_available,station_id,is_returning,is_installed,is_renting,last_reported,num_docks_available,legacy_id,num_docks_disabled,station_status,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,False,0,72,1,1,1,1605052665,45,72,0,active,2,8,,,1605052800,1605052800,0,4
1,False,0,79,1,1,1,1605052108,14,79,0,active,2,17,,,1605052800,1605052800,0,1
2,False,1,82,1,1,1,1605052775,1,82,0,active,0,26,,,1605052800,1605052800,0,0
3,False,0,83,1,1,1,1605052672,40,83,0,active,1,21,,,1605052800,1605052800,0,21
4,False,0,116,0,0,0,86400,0,116,0,out_of_service,0,0,,,1605052800,1605052800,0,0
5,False,0,119,1,1,1,1605050841,11,119,0,active,1,41,,,1605052800,1605052800,1,0
6,False,0,120,1,1,1,1605052750,12,120,0,active,1,6,,,1605052800,1605052800,0,0
7,False,0,127,1,1,1,1605052730,16,127,0,active,2,13,,,1605052800,1605052800,15,0
8,False,0,128,1,1,1,1605052782,3,128,0,active,2,51,,,1605052800,1605052800,4,0
9,False,0,143,1,1,1,1605052199,20,143,0,active,2,2,,,1605052800,1605052800,0,2
10,False,0,144,1,1,1,1605051328,11,144,0,active,1,46,,,1605052800,1605052800,0,0
11,False,0,146,1,1,1,1605052639,3,146,0,active,0,36,,,1605052800,1605052800,0,3
12,False,0,150,1,1,1,1605052781,41,150,0,active,1,13,,,1605052800,1605052800,0,4
13,True,0,151,1,1,1,1605052741,6,151,0,active,6,21,,,1605052800,1605052800,2,0
14,False,0,152,1,1,1,1605051850,1,152,0,active,0,48,,,1605052800,1605052800,0,1
15,False,0,157,1,1,1,1605052548,3,157,0,active,1,19,,,1605052800,1605052800,3,0
16,False,1,161,1,1,1,1605052706,2,161,0,active,4,29,,,1605052800,1605052800,0,0
17,False,0,164,1,1,1,1605052270,24,164,0,active,5,18,,,1605052800,1605052800,0,9
18,False,0,168,1,1,1,1605052742,17,168,0,active,1,29,,,1605052800,1605052800,0,1
19,False,0,173,1,1,1,1605052713,64,173,0,active,0,6,,,1605052800,1605052800,0,1
20,False,0,174,1,1,1,1605052727,32,174,0,active,0,3,,,1605052800,1605052800,0,1
21,False,2,212,1,1,1,1605052751,2,212,0,active,3,55,,,1605052800,1605052800,0,1
22,False,0,216,1,1,1,1605052620,33,216,0,active,2,2,,,1605052800,1605052800,0,0
23,False,0,217,1,1,1,1605052648,5,217,0,active,1,33,,,1605052800,1605052800,0,0
24,False,1,223,1,1,1,1605052658,1,223,0,active,3,29,,,1605052800,1605052800,0,1
25,True,1,224,1,1,1,1605052392,22,224,0,active,1,7,,,1605052800,1605052800,0,3
26,False,0,228,1,1,1,1605052775,38,228,0,active,2,15,,,1605052800,1605052800,0,15
27,False,0,229,1,1,1,1605052611,7,229,0,active,3,13,,,1605052800,1605052800,0,1
28,False,0,236,1,1,1,86400,0,236,0,active,0,0,,,1605052800,1605052800,0,0
29,False,0,237,1,1,1,1605052753,26,237,0,active,2,11,,,1605052800,1605052800,6,0
30,False,0,238,1,1,1,1605052527,3,238,0,active,5,23,,,1605052800,1605052800,0,1
31,False,0,239,1,1,1,1605052772,13,239,0,active,0,18,,,1605052800,1605052800,2,0
32,False,1,241,1,1,1,1605052456,12,241,0,active,2,9,,,1605052800,1605052800,2,0
33,False,1,242,1,1,1,1605052433,10,242,0,active,1,35,,,1605052800,1605052800,0,6
34,False,0,244,1,1,1,1605052788,27,244,0,active,4,0,,,1605052800,1605052800,5,0
35,False,0,245,1,1,1,1605052756,3,245,0,active,0,20,,,1605052800,1605052800,0,1
36,False,0,247,1,1,1,1605052533,23,247,0,active,4,28,,,1605052800,1605052800,16,0
37,False,0,248,1,1,1,1605052736,12,248,0,active,1,86,,,1605052800,1605052800,2,0
38,False,0,249,1,1,1,1605052291,5,249,0,active,1,21,,,1605052800,1605052800,3,0
39,False,1,250,1,1,1,1605052735,19,250,0,active,5,16,,,1605052800,1605052800,3,0
40,False,0,251,1,1,1,1605052794,9,251,0,active,0,18,,,1605052800,1605052800,9,0
41,False,0,252,1,1,1,1605052754,2,252,0,active,1,30,,,1605052800,1605052800,0,0
42,False,0,254,1,1,1,1605052794,28,254,1,active,2,16,,,1605052800,1605052800,4,0
43,False,1,257,1,1,1,1605052595,11,257,0,active,3,25,,,1605052800,1605052800,0,3
44,False,0,258,1,1,1,1605052791,11,258,0,active,3,9,,,1605052800,1605052800,8,0
45,False,0,259,1,1,1,1605052065,3,259,0,active,0,36,,,1605052800,1605052800,1,0
46,False,0,260,1,1,1,1605052748,16,260,0,active,0,17,,,1605052800,1605052800,0,2
47,False,0,261,1,1,1,1605052591,26,261,0,active,1,14,,,1605052800,1605052800,1,0
48,False,0,262,1,1,1,1605052645,18,262,0,active,0,6,,,1605052800,1605052800,1,0
49,False,0,264,1,1,1,1605052608,10,264,0,active,3,14,,,1605052800,1605052800,4,0
50,False,1,265,1,1,1,1605052775,8,265,0,active,3,24,,,1605052800,1605052800,8,0
51,False,0,267,1,1,1,1605051831,68,267,0,active,2,0,,,1605052800,1605052800,1,0
52,False,1,268,1,1,1,1605052768,11,268,0,active,1,15,,,1605052800,1605052800,0,8
53,False,0,270,1,1,1,1605052690,17,270,0,active,4,2,,,1605052800,1605052800,8,0
54,False,0,274,1,1,1,1605052781,21,274,0,active,3,7,,,1605052800,1605052800,0,0
55,False,0,275,1,1,1,1605052033,13,275,0,active,2,4,,,1605052800,1605052800,0,1
56,False,0,276,1,1,1,1605052708,2,276,0,active,0,23,,,1605052800,1605052800,1,0
57,False,2,278,1,1,1,1605052481,6,278,0,active,2,11,,,1605052800,1605052800,0,4
