,eightd_has_available_keys,num_ebikes_available,station_id,is_returning,is_installed,is_renting,last_reported,num_docks_available,legacy_id,num_docks_disabled,station_status,num_bikes_disabled,num_bikes_available,starttime,timestamp,demand,supply
0,False,1,72,1,1,1,1605056292,49,72,0,active,2,4,1605056400,1605056400,4,0
1,False,0,79,1,1,1,1605056199,15,79,0,active,2,16,1605056400,1605056400,6,0
2,False,2,82,1,1,1,1605055970,1,82,0,active,0,26,1605056400,1605056400,0,0
3,False,0,83,1,1,1,1605056239,0,83,40,active,22,0,1605056400,1605056400,0,0
4,False,0,116,0,0,0,86400,0,116,0,out_of_service,0,0,1605056400,1605056400,0,0
5,False,1,119,1,1,1,1605054836,10,119,0,active,1,42,1605056400,1605056400,1,0
6,False,0,120,1,1,1,1605056094,13,120,0,active,0,6,1605056400,1605056400,1,0
7,False,0,127,1,1,1,1605056188,1,127,0,active,2,28,1605056400,1605056400,0,1
8,False,2,128,1,1,1,1605056123,0,128,0,active,1,55,1605056400,1605056400,0,27
9,False,0,143,1,1,1,1605056101,22,143,0,active,2,0,1605056400,1605056400,5,0
10,False,0,144,1,1,1,1605051328,11,144,0,active,1,46,1605056400,1605056400,0,0
11,False,0,146,1,1,1,1605056354,6,146,0,active,0,33,1605056400,1605056400,2,0
12,False,0,150,1,1,1,1605056383,43,150,0,active,2,10,1605056400,1605056400,7,0
13,True,1,151,1,1,1,1605056385,5,151,0,active,6,22,1605056400,1605056400,2,0
14,False,1,152,1,1,1,1605056257,2,152,0,active,0,47,1605056400,1605056400,0,0
15,False,0,157,1,1,1,1605056030,0,157,0,active,1,22,1605056400,1605056400,0,2
16,False,1,161,1,1,1,1605056385,2,161,0,active,5,28,1605056400,1605056400,0,5
17,False,0,164,1,1,1,1605056273,33,164,0,active,5,9,1605056400,1605056400,0,4
18,False,0,168,1,1,1,1605056302,17,168,0,active,2,28,1605056400,1605056400,0,7
19,False,0,173,1,1,1,1605055800,65,173,0,active,0,5,1605056400,1605056400,27,0
20,False,1,174,1,1,1,1605056260,33,174,0,active,0,2,1605056400,1605056400,2,0
21,False,0,212,1,1,1,1605055930,3,212,0,active,3,54,1605056400,1605056400,0,1
22,False,0,216,1,1,1,1605055356,34,216,0,active,1,2,1605056400,1605056400,0,2
23,False,1,217,1,1,1,1605056299,5,217,0,active,1,33,1605056400,1605056400,0,5
24,False,0,223,1,1,1,1605056192,1,223,0,active,4,28,1605056400,1605056400,0,1
25,True,1,224,1,1,1,1605056244,25,224,0,active,1,4,1605056400,1605056400,0,0
26,False,0,228,1,1,1,1605056150,54,228,0,active,1,0,1605056400,1605056400,0,0
27,False,0,229,1,1,1,1605056200,8,229,0,active,3,12,1605056400,1605056400,2,0
28,False,0,236,1,1,1,86400,0,236,0,active,0,0,1605056400,1605056400,0,0
29,False,2,237,1,1,1,1605056383,19,237,0,active,2,18,1605056400,1605056400,7,0
30,False,0,238,1,1,1,1605056395,5,238,0,active,5,21,1605056400,1605056400,3,0
31,False,1,239,1,1,1,1605055338,10,239,0,active,1,20,1605056400,1605056400,0,2
32,False,1,241,1,1,1,1605055782,10,241,0,active,2,11,1605056400,1605056400,2,0
33,False,0,242,1,1,1,1605054372,16,242,0,active,1,29,1605056400,1605056400,1,0
34,False,1,244,1,1,1,1605056309,23,244,0,active,3,5,1605056400,1605056400,0,0
35,False,0,245,1,1,1,1605056017,4,245,0,active,0,19,1605056400,1605056400,1,0
36,False,3,247,1,1,1,1605056396,5,247,0,active,6,44,1605056400,1605056400,5,0
37,False,1,248,1,1,1,1605055940,9,248,0,active,2,88,1605056400,1605056400,0,0
38,False,0,249,1,1,1,1605055934,2,249,0,active,1,24,1605056400,1605056400,0,0
39,False,0,250,1,1,1,1605056250,17,250,0,active,4,19,1605056400,1605056400,0,5
40,False,1,251,1,1,1,1605056104,0,251,0,active,0,27,1605056400,1605056400,0,5
41,False,0,252,1,1,1,1605055761,2,252,0,active,1,30,1605056400,1605056400,2,0
42,False,0,254,1,1,1,1605056215,24,254,0,active,3,20,1605056400,1605056400,11,0
43,False,0,257,1,1,1,1605054903,15,257,0,active,2,22,1605056400,1605056400,0,6
44,False,3,258,1,1,1,1605055287,3,258,0,active,3,17,1605056400,1605056400,5,0
