,station_id,num_docks_disabled,is_renting,is_installed,num_ebikes_available,station_status,eightd_has_available_keys,legacy_id,num_bikes_available,num_docks_available,last_reported,is_returning,num_bikes_disabled,starttime,timestamp,demand,supply
0,72,0,1,1,0,active,False,72,9,43,1605063496,1,3,1605063595,1605063595,2,0
1,79,0,1,1,0,active,False,79,22,10,1605063420,1,1,1605063595,1605063595,0,1
2,82,0,1,1,0,active,False,82,27,0,1605060809,1,0,1605063595,1605063595,0,1
3,83,40,1,1,0,active,False,83,0,0,1605063468,1,22,1605063595,1605063595,0,0
4,116,0,0,0,0,out_of_service,False,116,0,0,86400,0,0,1605063595,1605063595,0,0
5,119,0,1,1,3,active,False,119,44,8,1605060656,1,1,1605063595,1605063595,2,0
6,120,0,1,1,0,active,False,120,6,12,1605062830,1,1,1605063595,1605063595,6,0
7,127,0,1,1,1,active,False,127,26,3,1605063452,1,2,1605063595,1605063595,0,0
8,128,0,1,1,1,active,False,128,32,22,1605063577,1,2,1605063595,1605063595,0,1
9,143,0,1,1,0,active,False,143,5,17,1605063469,1,2,1605063595,1605063595,5,0
10,144,0,1,1,0,active,False,144,46,11,1605051328,1,1,1605063595,1605063595,1,0
11,146,0,1,1,2,active,False,146,32,7,1605063576,1,0,1605063595,1605063595,0,0
12,150,0,1,1,0,active,False,150,25,27,1605063540,1,3,1605063595,1605063595,5,0
13,151,0,1,1,0,active,True,151,12,16,1605062938,1,5,1605063595,1605063595,0,8
14,152,0,1,1,1,active,False,152,48,1,1605063284,1,0,1605063595,1605063595,0,3
15,157,0,1,1,0,active,False,157,20,1,1605063555,1,2,1605063595,1605063595,1,0
16,161,0,1,1,0,active,False,161,14,15,1605063565,1,6,1605063595,1605063595,1,0
17,164,0,1,1,5,active,False,164,9,38,1605063011,1,0,1605063595,1605063595,0,0
18,168,0,1,1,0,active,False,168,22,23,1605063097,1,2,1605063595,1605063595,0,1
19,173,0,1,1,1,active,False,173,21,47,1605063379,1,2,1605063595,1605063595,0,10
20,174,0,1,1,6,active,False,174,12,22,1605063376,1,1,1605063595,1605063595,1,0
21,212,0,1,1,0,active,False,212,51,6,1605063151,1,3,1605063595,1605063595,0,2
22,216,0,1,1,0,active,False,216,0,36,1605058303,1,1,1605063595,1605063595,2,0
23,217,0,1,1,0,active,False,217,25,12,1605062659,1,2,1605063595,1605063595,0,0
24,223,0,1,1,0,active,False,223,28,1,1605062405,1,4,1605063595,1605063595,0,0
25,224,0,1,1,0,active,True,224,6,24,1605061442,1,0,1605063595,1605063595,0,5
26,228,0,1,1,1,active,False,228,1,54,1605063398,1,0,1605063595,1605063595,0,1
27,229,0,1,1,0,active,False,229,13,7,1605063473,1,3,1605063595,1605063595,6,0
28,236,0,1,1,0,active,False,236,0,0,86400,1,0,1605063595,1605063595,0,0
29,237,0,1,1,0,active,False,237,20,15,1605063578,1,4,1605063595,1605063595,1,0
30,238,0,1,1,0,active,False,238,22,3,1605063542,1,6,1605063595,1605063595,1,0
31,239,0,1,1,0,active,False,239,19,11,1605060665,1,1,1605063595,1605063595,1,0
32,241,0,1,1,0,active,False,241,9,11,1605062999,1,3,1605063595,1605063595,2,0
33,242,0,1,1,1,active,False,242,31,14,1605062058,1,1,1605063595,1605063595,0,1
34,244,0,1,1,0,active,False,244,7,19,1605063332,1,5,1605063595,1605063595,0,0
35,245,0,1,1,0,active,False,245,19,4,1605061012,1,0,1605063595,1605063595,0,1
36,247,0,1,1,0,active,False,247,49,0,1605063036,1,6,1605063595,1605063595,0,1
37,248,0,1,1,0,active,False,248,87,10,1605062901,1,2,1605063595,1605063595,1,0
38,249,0,1,1,0,active,False,249,23,3,1605062635,1,1,1605063595,1605063595,1,0
39,250,0,1,1,0,active,False,250,9,27,1605063281,1,4,1605063595,1605063595,0,1
40,251,0,1,1,0,active,False,251,24,2,1605063296,1,1,1605063595,1605063595,0,1
41,252,0,1,1,0,active,False,252,26,7,1605063581,1,0,1605063595,1605063595,0,0
42,254,0,1,1,0,active,False,254,29,15,1605063298,1,3,1605063595,1605063595,0,0
43,257,0,1,1,0,active,False,257,17,20,1605063177,1,2,1605063595,1605063595,0,3
44,258,0,1,1,2,active,False,258,15,7,1605063381,1,1,1605063595,1605063595,0,4
45,259,0,1,1,0,active,False,259,39,0,1605062199,1,0,1605063595,1605063595,0,1
46,260,0,1,1,0,active,False,260,16,14,1605062330,1,3,1605063595,1605063595,0,0
47,261,0,1,1,0,active,False,261,20,20,1605062631,1,1,1605063595,1605063595,3,0
48,262,0,1,1,0,active,False,262,9,13,1605060151,1,2,1605063595,1605063595,4,0
49,264,0,1,1,0,active,False,264,22,1,1605062712,1,4,1605063595,1605063595,0,0
50,265,0,1,1,0,active,False,265,31,2,1605063178,1,2,1605063595,1605063595,1,0
51,267,0,1,1,0,active,False,267,6,61,1605063223,1,3,1605063595,1605063595,0,1
52,268,0,1,1,0,active,False,268,9,18,1605062660,1,0,1605063595,1605063595,0,4
53,270,0,1,1,0,active,False,270,10,12,1605060754,1,1,1605063595,1605063595,2,0
54,274,0,1,1,0,active,False,274,10,18,1605062521,1,3,1605063595,1605063595,1,0
55,275,0,1,1,3,active,False,275,6,11,1605062287,1,2,1605063595,1605063595,0,1
56,276,0,1,1,0,active,False,276,25,0,1605063580,1,0,1605063595,1605063595,0,0
57,278,0,1,1,2,active,False,278,10,6,1605062966,1,3,1605063595,1605063595,0,2
58,280,0,0,0,0,out_of_service,False,280,0,0,86400,0,0,1605063595,1605063595,0,0
59,281,0,1,1,0,active,True,281,1,62,1605063338,1,3,1605063595,1605063595,0,0
60,282,0,1,1,2,active,False,282,10,13,1605063371,1,4,1605063595,1605063595,0,3
61,284,0,1,1,1,active,False,284,37,12,1605063499,1,2,1605063595,1605063595,0,1
62,285,0,1,1,0,active,True,285,13,38,1605063293,1,2,1605063595,1605063595,0,4
63,289,0,1,1,0,active,False,289,4,14,1605058721,1,1,1605063595,1605063595,2,0
64,291,0,1,1,3,active,False,291,19,0,1605062398,1,1,1605063595,1605063595,0,0
65,293,0,1,1,1,active,False,293,31,23,1605063312,1,0,1605063595,1605063595,0,4
66,295,0,1,1,1,active,False,295,24,0,1605060712,1,0,1605063595,1605063595,0,0
67,297,0,1,1,1,active,False,297,18,56,1605063502,1,3,1605063595,1605063595,4,0
68,298,0,1,1,1,active,False,298,16,17,1605062627,1,2,1605063595,1605063595,0,1
69,301,0,1,1,2,active,False,301,56,0,1605063181,1,2,1605063595,1605063595,0,4
70,302,0,1,1,4,active,False,302,25,6,1605063340,1,6,1605063595,1605063595,0,4
71,303,0,1,1,0,active,False,303,44,23,1605063577,1,0,1605063595,1605063595,0,1
72,304,0,1,1,2,active,False,304,20,11,1605063166,1,2,1605063595,1605063595,0,0
73,305,0,1,1,0,active,False,305,0,32,1605063056,1,1,1605063595,1605063595,5,0
74,307,0,1,1,1,active,False,307,27,1,1605063547,1,2,1605063595,1605063595,1,0
75,308,0,1,1,1,active,False,308,44,2,1605062852,1,2,1605063595,1605063595,2,0
76,309,0,1,1,0,active,False,309,18,21,1605063515,1,2,1605063595,1605063595,0,2
77,310,0,1,1,0,active,False,310,47,16,1605062022,1,3,1605063595,1605063595,1,0
78,311,0,1,1,0,active,False,311,25,0,1605062964,1,6,1605063595,1605063595,0,0
79,312,0,1,1,0,active,False,312,25,6,1605063549,1,2,1605063595,1605063595,4,0
80,313,0,1,1,2,active,False,313,48,7,1605061252,1,0,1605063595,1605063595,0,0
81,315,0,1,1,0,active,False,315,8,17,1605063140,1,4,1605063595,1605063595,1,0
82,316,0,1,1,0,active,False,316,13,30,1605062790,1,0,1605063595,1605063595,0,0
83,317,0,1,1,1,active,False,317,42,6,1605062911,1,6,1605063595,1605063595,1,0
84,319,0,1,1,0,active,False,319,1,30,1605062619,1,2,1605063595,1605063595,0,0
85,320,0,1,1,0,active,False,320,24,15,1605063205,1,0,1605063595,1605063595,5,0
86,321,0,1,1,0,active,False,321,30,7,1605061764,1,2,1605063595,1605063595,0,0
87,323,0,1,1,1,active,False,323,25,11,1605062913,1,3,1605063595,1605063595,0,0
88,324,0,1,1,2,active,False,324,70,2,1605063257,1,2,1605063595,1605063595,0,3
89,325,0,1,1,0,active,False,325,29,5,1605063161,1,1,1605063595,1605063595,2,0
90,326,0,1,1,0,active,False,326,37,2,1605063516,1,2,1605063595,1605063595,0,1
91,327,0,1,1,0,active,True,327,7,30,1605063190,1,2,1605063595,1605063595,1,0
92,328,0,1,1,0,active,False,328,26,6,1605061684,1,3,1605063595,1605063595,1,0
93,330,0,1,1,0,active,False,330,13,26,1605063131,1,0,1605063595,1605063595,0,1
94,331,0,1,1,0,active,False,331,23,0,1605061479,1,4,1605063595,1605063595,0,0
95,332,0,1,1,2,active,False,332,33,0,1605060673,1,3,1605063595,1605063595,0,1
96,334,0,1,1,0,active,False,334,24,4,1605062533,1,3,1605063595,1605063595,0,1
97,335,0,1,1,0,active,False,335,7,17,1605062490,1,3,1605063595,1605063595,2,0
98,336,0,1,1,0,active,False,336,25,8,1605063460,1,3,1605063595,1605063595,2,0
99,340,0,1,1,0,active,False,340,22,1,1605063260,1,4,1605063595,1605063595,1,0
100,341,0,1,1,0,active,False,341,9,10,1605061669,1,0,1605063595,1605063595,0,0
101,342,1,1,1,1,active,False,342,24,2,1605062506,1,2,1605063595,1605063595,1,0
102,343,0,1,1,0,active,False,343,12,10,1605059929,1,1,1605063595,1605063595,0,1
103,344,0,1,1,5,active,False,344,7,12,1605062516,1,4,1605063595,1605063595,2,0
104,346,0,1,1,0,active,False,346,21,1,1605063581,1,5,1605063595,1605063595,1,0
105,347,0,1,1,0,active,False,347,30,23,1605063537,1,1,1605063595,1605063595,0,8
106,349,0,0,1,1,active,False,349,60,0,1604888322,0,1,1605063595,1605063595,0,0
107,350,1,1,1,0,active,False,350,39,1,1605063179,1,6,1605063595,1605063595,0,1
108,351,0,1,1,0,active,False,351,24,14,1605062830,1,1,1605063595,1605063595,3,0
109,353,0,1,1,0,active,False,353,8,18,1605063542,1,1,1605063595,1605063595,0,2
110,354,0,1,1,0,active,False,354,9,37,1605061786,1,1,1605063595,1605063595,3,0
111,355,0,1,1,0,active,False,355,26,16,1605063039,1,1,1605063595,1605063595,3,0
