,num_ebikes_available,is_renting,last_reported,num_bikes_disabled,eightd_has_available_keys,is_installed,station_status,num_bikes_available,num_docks_disabled,station_id,num_docks_available,is_returning,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,1,1,1605102869,1,False,1,active,6,0,72,48,1,72,,,1605103205,1605103205,0,1
1,0,1,1605102906,0,False,1,active,30,0,79,3,1,79,,,1605103205,1605103205,2,0
2,0,1,1605101280,0,False,1,active,23,0,82,4,1,82,,,1605103205,1605103205,0,0
3,2,1,1605102993,2,False,1,active,31,0,83,29,1,83,,,1605103205,1605103205,1,0
4,0,0,86400,0,False,0,out_of_service,0,0,116,0,0,116,,,1605103205,1605103205,0,0
5,0,1,1605102349,1,False,1,active,44,0,119,8,1,119,,,1605103205,1605103205,0,0
6,1,1,1605103114,0,False,1,active,8,0,120,11,1,120,,,1605103205,1605103205,0,2
7,1,1,1605103075,0,False,1,active,16,0,127,15,1,127,,,1605103205,1605103205,0,8
8,1,1,1605103181,1,False,1,active,24,0,128,31,1,128,,,1605103205,1605103205,4,0
9,1,1,1605102711,1,False,1,active,10,0,143,13,1,143,,,1605103205,1605103205,1,0
10,1,1,1605103064,2,False,1,active,49,0,144,7,1,144,,,1605103205,1605103205,0,2
11,2,1,1605102837,1,False,1,active,28,0,146,10,1,146,,,1605103205,1605103205,0,1
12,0,1,1605103061,0,False,1,active,35,0,150,20,1,150,,,1605103205,1605103205,0,0
13,1,1,1605103187,7,True,1,active,9,0,151,17,1,151,,,1605103205,1605103205,5,0
14,0,1,1605103076,0,False,1,active,42,0,152,7,1,152,,,1605103205,1605103205,1,0
15,0,1,1605102924,1,False,1,active,9,0,157,13,1,157,,,1605103205,1605103205,0,2
16,5,1,1605102935,1,False,1,active,19,0,161,15,1,161,,,1605103205,1605103205,4,0
17,0,1,1605103131,4,False,1,active,7,0,164,36,1,164,,,1605103205,1605103205,8,0
18,3,1,1605103193,0,False,1,active,34,0,168,13,1,168,,,1605103205,1605103205,12,0
19,7,1,1605103161,1,False,1,active,66,0,173,3,1,173,,,1605103205,1605103205,0,0
20,0,1,1605102759,0,False,1,active,16,0,174,19,1,174,,,1605103205,1605103205,3,0
21,1,1,1605103069,1,False,1,active,57,0,212,2,1,212,,,1605103205,1605103205,2,0
22,0,1,1605102951,2,False,1,active,4,0,216,31,1,216,,,1605103205,1605103205,2,0
23,0,1,1605103170,1,False,1,active,30,0,217,8,1,217,,,1605103205,1605103205,4,0
24,0,1,1605102808,4,False,1,active,23,0,223,6,1,223,,,1605103205,1605103205,0,1
25,0,1,1605102874,0,True,1,active,3,0,224,27,1,224,,,1605103205,1605103205,0,0
26,4,0,1605103153,2,False,1,active,14,0,228,39,0,228,,,1605103205,1605103205,7,0
