,num_docks_available,last_reported,num_bikes_disabled,station_status,legacy_id,num_docks_disabled,station_id,is_installed,is_renting,num_bikes_available,num_ebikes_available,is_returning,eightd_has_available_keys,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,49,1605160535,0,active,72,0,72,1,1,6,0,1,False,,,1605160795,1605160795,0,0
1,5,1605160471,0,active,79,0,79,1,1,28,0,1,False,,,1605160795,1605160795,1,0
2,0,1605159633,0,active,82,0,82,1,1,27,6,1,False,,,1605160795,1605160795,0,0
3,31,1605157413,1,active,83,0,83,1,1,30,0,1,False,,,1605160795,1605160795,0,0
4,0,86400,0,out_of_service,116,0,116,0,0,0,0,0,False,,,1605160795,1605160795,0,0
5,10,1605124931,0,active,119,0,119,1,1,43,1,1,False,,,1605160795,1605160795,0,0
6,15,1605159500,1,active,120,0,120,1,1,3,2,1,False,,,1605160795,1605160795,0,0
7,21,1605155497,1,active,127,0,127,1,1,9,3,1,False,,,1605160795,1605160795,0,0
8,23,1605160682,0,active,128,0,128,1,1,33,0,1,False,,,1605160795,1605160795,1,0
9,16,1605149987,0,active,143,0,143,1,1,8,1,1,False,,,1605160795,1605160795,0,0
10,8,1605159870,1,active,144,0,144,1,1,49,1,1,False,,,1605160795,1605160795,0,0
11,14,1605154822,0,active,146,0,146,1,1,25,0,1,False,,,1605160795,1605160795,0,0
12,28,1605160742,0,active,150,0,150,1,1,27,5,1,False,,,1605160795,1605160795,12,0
13,10,1605160044,3,active,151,0,151,1,1,20,1,1,True,,,1605160795,1605160795,0,0
14,7,1605156583,0,active,152,0,152,1,1,42,0,1,False,,,1605160795,1605160795,0,1
15,16,1605155583,0,active,157,0,157,1,1,7,1,1,False,,,1605160795,1605160795,0,0
16,22,1605158209,2,active,161,0,161,1,1,11,0,1,False,,,1605160795,1605160795,1,0
17,33,1605160634,2,active,164,0,164,1,1,12,1,1,False,,,1605160795,1605160795,0,1
18,20,1605155979,0,active,168,0,168,1,1,27,0,1,False,,,1605160795,1605160795,0,0
