,station_status,station_id,is_renting,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,legacy_id,last_reported,num_docks_available,is_installed,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,active,72,1,1,0,21,2,1,False,72,1605234356,33,1,,,1605236395,1605236395,2,0
1,active,79,1,1,0,26,0,0,False,79,1605235219,7,1,,,1605236395,1605236395,1,0
2,active,82,1,1,0,27,2,0,False,82,1605235642,0,1,,,1605236395,1605236395,0,1
3,active,83,1,1,0,39,0,0,False,83,1605234456,23,1,,,1605236395,1605236395,0,0
4,out_of_service,116,0,0,0,0,0,0,False,116,86400,0,0,,,1605236395,1605236395,0,0
5,active,119,1,1,0,45,0,2,False,119,1605227795,6,1,,,1605236395,1605236395,0,0
6,active,120,1,1,0,8,2,0,False,120,1605234128,11,1,,,1605236395,1605236395,0,2
7,active,127,1,1,0,31,4,0,False,127,1605236151,0,1,,,1605236395,1605236395,0,1
8,active,128,1,1,0,52,9,1,False,128,1605236385,3,1,,,1605236395,1605236395,0,0
9,active,143,1,1,0,6,3,0,False,143,1605235935,18,1,,,1605236395,1605236395,1,0
10,active,144,1,1,0,56,0,1,False,144,1605236222,1,1,,,1605236395,1605236395,0,0
11,active,146,1,1,0,32,0,0,False,146,1605235344,7,1,,,1605236395,1605236395,0,1
12,active,150,1,1,0,27,3,2,False,150,1605236254,26,1,,,1605236395,1605236395,2,0
13,active,151,1,1,0,13,0,2,True,151,1605236386,18,1,,,1605236395,1605236395,0,0
14,active,152,1,1,0,43,0,1,False,152,1605236346,5,1,,,1605236395,1605236395,1,0
15,active,157,1,1,0,14,3,0,False,157,1605234862,9,1,,,1605236395,1605236395,1,0
16,active,161,1,1,0,20,1,1,False,161,1605236001,14,1,,,1605236395,1605236395,1,0
17,active,164,1,1,0,14,2,1,False,164,1605234085,32,1,,,1605236395,1605236395,0,1
18,active,168,1,1,0,32,0,1,False,168,1605236365,14,1,,,1605236395,1605236395,0,3
19,active,173,1,1,0,36,0,0,False,173,1605235540,34,1,,,1605236395,1605236395,0,0
