,num_bikes_available,legacy_id,is_installed,last_reported,num_docks_available,num_bikes_disabled,num_ebikes_available,is_renting,is_returning,station_id,num_docks_disabled,station_status,eightd_has_available_keys,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,25,72,1,1605240592,29,1,2,1,1,72,0,active,False,,,1605243605,1605243605,1,0
1,27,79,1,1605239154,6,0,0,1,1,79,0,active,False,,,1605243605,1605243605,0,0
2,27,82,1,1605240965,0,0,2,1,1,82,0,active,False,,,1605243605,1605243605,0,1
3,39,83,1,1605239204,23,0,0,1,1,83,0,active,False,,,1605243605,1605243605,0,0
4,0,116,0,86400,0,0,0,0,0,116,0,out_of_service,False,,,1605243605,1605243605,0,0
5,45,119,1,1605242356,8,0,0,1,1,119,0,active,False,,,1605243605,1605243605,0,0
6,7,120,1,1605241119,12,0,1,1,1,120,0,active,False,,,1605243605,1605243605,0,0
7,30,127,1,1605243244,1,0,1,1,1,127,0,active,False,,,1605243605,1605243605,0,0
8,45,128,1,1605243563,10,1,4,1,1,128,0,active,False,,,1605243605,1605243605,0,2
9,6,143,1,1605240054,18,0,1,1,1,143,0,active,False,,,1605243605,1605243605,0,0
10,56,144,1,1605236222,1,1,0,1,1,144,0,active,False,,,1605243605,1605243605,0,0
11,31,146,1,1605242467,8,0,1,1,1,146,0,active,False,,,1605243605,1605243605,0,2
12,30,150,1,1605243249,24,1,4,1,1,150,0,active,False,,,1605243605,1605243605,0,1
13,13,151,1,1605241710,18,2,0,1,1,151,0,active,True,,,1605243605,1605243605,0,1
14,44,152,1,1605237506,4,1,0,1,1,152,0,active,False,,,1605243605,1605243605,0,1
15,12,157,1,1605243368,11,0,1,1,1,157,0,active,False,,,1605243605,1605243605,1,0
16,19,161,1,1605241833,15,1,1,1,1,161,0,active,False,,,1605243605,1605243605,0,2
17,14,164,1,1605242972,32,1,2,1,1,164,0,active,False,,,1605243605,1605243605,1,0
18,29,168,1,1605242226,18,0,1,1,1,168,0,active,False,,,1605243605,1605243605,0,0
19,34,173,1,1605242498,36,0,0,1,1,173,0,active,False,,,1605243605,1605243605,0,1
20,10,174,1,1605243583,25,0,2,1,1,174,0,active,False,,,1605243605,1605243605,2,0
21,47,212,1,1605241038,11,2,0,1,1,212,0,active,False,,,1605243605,1605243605,3,0
22,17,216,1,1605243142,20,0,6,1,1,216,0,active,False,,,1605243605,1605243605,0,1
23,32,217,1,1605242824,7,0,1,1,1,217,0,active,False,,,1605243605,1605243605,0,0
24,27,223,1,1605242151,4,2,5,1,1,223,0,active,False,,,1605243605,1605243605,0,1
25,7,224,1,1605241835,23,0,2,1,1,224,0,active,True,,,1605243605,1605243605,0,1
26,30,228,1,1605241877,23,0,1,1,1,228,2,active,False,,,1605243605,1605243605,0,0
27,10,229,1,1605243102,12,1,1,1,1,229,0,active,False,,,1605243605,1605243605,0,3
28,0,236,1,86400,0,0,0,1,1,236,0,active,False,,,1605243605,1605243605,0,0
29,14,237,1,1605243395,23,2,2,1,1,237,0,active,False,,,1605243605,1605243605,0,0
30,20,238,1,1605241602,10,1,1,1,1,238,0,active,False,,,1605243605,1605243605,2,0
31,16,239,1,1605241198,14,1,0,1,1,239,0,active,False,,,1605243605,1605243605,0,1
32,12,241,1,1605237016,9,2,0,1,1,241,0,active,False,,,1605243605,1605243605,0,0
33,37,242,1,1605243500,9,0,0,1,1,242,0,active,False,,,1605243605,1605243605,0,0
34,4,244,1,1605240796,25,2,1,1,1,244,0,active,False,,,1605243605,1605243605,0,0
35,8,245,1,1605240302,15,0,1,1,1,245,0,active,False,,,1605243605,1605243605,0,1
36,37,247,1,1605242276,16,2,2,1,1,247,0,active,False,,,1605243605,1605243605,1,0
37,85,248,1,1605238938,11,3,0,1,1,248,0,active,False,,,1605243605,1605243605,0,0
38,19,249,1,1605240757,8,0,0,1,1,249,0,active,False,,,1605243605,1605243605,0,0
39,25,250,1,1605243574,13,2,0,1,1,250,0,active,False,,,1605243605,1605243605,0,0
40,21,251,1,1605243043,5,1,2,1,1,251,0,active,False,,,1605243605,1605243605,0,1
41,28,252,1,1605242776,5,0,1,1,1,252,0,active,False,,,1605243605,1605243605,0,0
42,37,254,1,1605241474,6,4,12,1,1,254,0,active,False,,,1605243605,1605243605,0,1
43,26,257,1,1605243161,13,0,0,1,1,257,0,active,False,,,1605243605,1605243605,0,0
44,6,258,1,1605242612,15,2,0,1,1,258,0,active,False,,,1605243605,1605243605,0,1
45,35,259,1,1605241492,4,0,0,1,1,259,0,active,False,,,1605243605,1605243605,0,0
46,17,260,1,1605240985,15,1,0,1,1,260,0,active,False,,,1605243605,1605243605,0,0
47,20,261,1,1605242335,21,0,0,1,1,261,0,active,False,,,1605243605,1605243605,1,0
48,7,262,1,1605239917,16,1,0,1,1,262,0,active,False,,,1605243605,1605243605,0,0
49,21,264,1,1605242266,5,1,0,1,1,264,0,active,False,,,1605243605,1605243605,0,1
50,21,265,1,1605242919,14,0,0,1,1,265,0,active,False,,,1605243605,1605243605,0,0
51,28,267,1,1605243177,40,2,1,1,1,267,0,active,False,,,1605243605,1605243605,0,4
52,21,268,1,1605242483,5,1,0,1,1,268,0,active,False,,,1605243605,1605243605,0,1
53,3,270,1,1605242255,20,0,1,1,1,270,0,active,False,,,1605243605,1605243605,0,0
54,10,274,1,1605241846,21,0,1,1,1,274,0,active,False,,,1605243605,1605243605,2,0
55,1,275,1,1605238032,18,0,0,1,1,275,0,active,False,,,1605243605,1605243605,2,0
56,2,276,1,1605241378,22,1,0,1,1,276,0,active,False,,,1605243605,1605243605,0,0
57,9,278,1,1605238612,10,0,0,1,1,278,0,active,False,,,1605243605,1605243605,0,0
58,0,280,0,86400,0,0,0,0,0,280,0,out_of_service,False,,,1605243605,1605243605,0,0
59,30,281,1,1605241117,35,1,0,1,1,281,0,active,True,,,1605243605,1605243605,0,1
60,11,282,1,1605243381,16,0,2,1,1,282,0,active,False,,,1605243605,1605243605,1,0
61,39,284,1,1605241765,12,0,6,1,1,284,0,active,False,,,1605243605,1605243605,0,5
62,25,285,1,1605243595,26,2,5,1,1,285,0,active,True,,,1605243605,1605243605,2,0
63,1,289,1,1605239546,18,0,1,1,1,289,0,active,False,,,1605243605,1605243605,1,0
64,18,291,1,1605243441,2,0,2,1,1,291,0,active,False,,,1605243605,1605243605,0,0
65,49,293,1,1605240785,3,2,0,1,1,293,0,active,False,,,1605243605,1605243605,0,0
66,23,295,1,1605240346,0,1,2,1,1,295,0,active,False,,,1605243605,1605243605,0,0
67,28,297,1,1605243490,44,5,1,1,1,297,0,active,False,,,1605243605,1605243605,5,0
68,3,298,1,1605243275,32,0,0,1,1,298,0,active,False,,,1605243605,1605243605,1,0
69,41,301,1,1605243558,17,0,2,1,1,301,0,active,False,,,1605243605,1605243605,0,4
70,23,302,1,1605243439,1,13,3,1,1,302,0,active,False,,,1605243605,1605243605,9,0
71,57,303,1,1605241089,8,2,0,1,1,303,0,active,False,,,1605243605,1605243605,0,0
72,8,304,1,1605243552,24,1,1,1,1,304,0,active,False,,,1605243605,1605243605,0,0
73,1,305,1,1605243158,31,1,0,1,1,305,0,active,False,,,1605243605,1605243605,0,0
74,26,307,1,1605243220,2,2,1,1,1,307,0,active,False,,,1605243605,1605243605,0,1
75,46,308,1,1605243330,0,2,4,1,1,308,0,active,False,,,1605243605,1605243605,0,0
76,23,309,1,1605241490,17,1,0,1,1,309,0,active,False,,,1605243605,1605243605,0,0
77,60,310,1,1605242119,5,1,1,1,1,310,0,active,False,,,1605243605,1605243605,0,0
78,14,311,1,1605242627,14,3,1,1,1,311,0,active,False,,,1605243605,1605243605,0,0
79,27,312,1,1605243146,5,1,0,1,1,312,0,active,False,,,1605243605,1605243605,0,2
80,44,313,1,1605236933,11,0,0,1,1,313,0,active,False,,,1605243605,1605243605,0,0
81,20,315,1,1605243485,6,3,0,1,1,315,0,active,False,,,1605243605,1605243605,0,0
82,39,316,1,1605240530,4,0,8,0,0,316,0,active,False,,,1605243605,1605243605,0,0
83,32,317,1,1605243069,22,0,7,1,1,317,0,active,False,,,1605243605,1605243605,0,3
84,11,319,1,1605240578,22,0,0,1,1,319,0,active,False,,,1605243605,1605243605,1,0
85,30,320,1,1605243135,9,0,1,1,1,320,0,active,False,,,1605243605,1605243605,0,1
86,27,321,1,1605234146,11,1,0,1,1,321,0,active,False,,,1605243605,1605243605,0,0
87,35,323,1,1605243300,4,0,0,1,1,323,0,active,False,,,1605243605,1605243605,0,0
88,70,324,1,1605241737,4,0,0,1,1,324,0,active,False,,,1605243605,1605243605,0,0
89,33,325,1,1605225278,0,2,5,0,0,325,0,active,False,,,1605243605,1605243605,1,0
90,23,326,1,1605242624,16,2,4,1,1,326,0,active,False,,,1605243605,1605243605,0,5
91,19,327,1,1605241001,17,3,0,1,1,327,0,active,True,,,1605243605,1605243605,0,0
92,30,328,1,1605243399,2,3,1,1,1,328,0,active,False,,,1605243605,1605243605,0,0
93,20,330,1,1605241468,18,1,1,1,1,330,0,active,False,,,1605243605,1605243605,0,0
94,20,331,1,1605242907,6,1,2,1,1,331,0,active,False,,,1605243605,1605243605,0,0
95,23,332,1,1605240326,13,0,4,1,1,332,0,active,False,,,1605243605,1605243605,1,0
96,22,334,1,1605242587,9,0,1,1,1,334,0,active,False,,,1605243605,1605243605,2,0
97,11,335,1,1605241443,16,0,0,1,1,335,0,active,False,,,1605243605,1605243605,0,1
98,25,336,1,1605243538,10,1,3,1,1,336,0,active,False,,,1605243605,1605243605,0,0
99,25,340,1,1605241178,1,1,2,1,1,340,0,active,False,,,1605243605,1605243605,0,2
100,16,341,1,1605202828,3,0,0,0,0,341,0,active,False,,,1605243605,1605243605,0,0
101,26,342,1,1605243324,2,0,4,1,1,342,1,active,False,,,1605243605,1605243605,0,0
102,18,343,1,1605231774,5,0,0,1,1,343,0,active,False,,,1605243605,1605243605,0,0
103,2,344,1,1605242798,17,4,0,1,1,344,0,active,False,,,1605243605,1605243605,1,0
104,17,346,1,1605243281,9,1,1,1,1,346,0,active,False,,,1605243605,1605243605,1,0
105,45,347,1,1605243201,9,0,7,1,1,347,0,active,False,,,1605243605,1605243605,0,1
106,40,349,1,1605242484,21,0,1,1,1,349,0,active,False,,,1605243605,1605243605,0,1
107,31,350,1,1605243557,12,3,1,1,1,350,1,active,False,,,1605243605,1605243605,2,0
108,36,351,1,1605240709,2,1,0,1,1,351,0,active,False,,,1605243605,1605243605,0,0
109,4,353,1,1605235404,22,1,2,1,1,353,0,active,False,,,1605243605,1605243605,0,1
110,9,354,1,1605243053,38,0,3,1,1,354,0,active,False,,,1605243605,1605243605,2,0
111,28,355,1,1605242457,12,3,0,1,1,355,0,active,False,,,1605243605,1605243605,0,1
112,21,356,1,1605243333,2,0,4,1,1,356,0,active,False,,,1605243605,1605243605,2,0
113,49,358,1,1605242869,1,0,13,1,1,358,0,active,False,,,1605243605,1605243605,0,0
114,3,359,1,1605242790,72,3,0,1,1,359,0,active,False,,,1605243605,1605243605,0,0
115,15,360,1,1605241518,22,2,0,1,1,360,0,active,False,,,1605243605,1605243605,0,0
116,75,361,1,1605243318,4,0,8,1,1,361,0,active,False,,,1605243605,1605243605,0,1
117,35,362,1,1605243337,21,1,1,1,1,362,0,active,False,,,1605243605,1605243605,0,0
118,0,363,0,1604843856,3,0,0,0,0,363,0,out_of_service,False,,,1605243605,1605243605,0,0
119,1,364,1,1605241327,26,0,1,1,1,364,0,active,False,,,1605243605,1605243605,0,0
120,9,366,1,1605241394,23,1,0,1,1,366,0,active,False,,,1605243605,1605243605,1,0
121,8,367,1,1605238263,33,2,0,1,1,367,0,active,False,,,1605243605,1605243605,0,0
122,22,368,1,1605242546,20,3,0,1,1,368,2,active,False,,,1605243605,1605243605,1,0
123,46,369,1,1605242589,29,1,1,1,1,369,0,active,False,,,1605243605,1605243605,0,0
124,9,372,1,1605239062,18,0,1,1,1,372,0,active,False,,,1605243605,1605243605,0,1
125,7,373,1,1605242518,12,0,1,1,1,373,0,active,False,,,1605243605,1605243605,0,0
126,33,376,1,1605241424,8,1,0,1,1,376,0,active,False,,,1605243605,1605243605,1,0
127,27,377,1,1605242412,20,1,0,1,1,377,0,active,False,,,1605243605,1605243605,2,0
128,46,379,1,1605242714,9,1,5,1,1,379,0,active,False,,,1605243605,1605243605,1,0
129,32,380,1,1605242238,9,1,2,1,1,380,0,active,False,,,1605243605,1605243605,0,1
