,num_bikes_available,is_renting,station_id,legacy_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,station_status,is_installed,num_ebikes_available,is_returning,num_docks_disabled,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,28,1,72,72,1,26,False,active,1,3,1,0,1605264579,,,1605265190,1605265190,0,1
1,27,1,79,79,0,6,False,active,1,0,1,0,1605261291,,,1605265190,1605265190,0,2
2,26,1,82,82,0,1,False,active,1,2,1,0,1605249415,,,1605265190,1605265190,0,1
3,39,1,83,83,0,23,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,3,0
4,0,0,116,116,0,0,False,out_of_service,0,0,0,0,86400,,,1605265190,1605265190,0,0
5,44,1,119,119,0,9,False,active,1,0,1,0,1605250957,,,1605265190,1605265190,0,1
6,6,1,120,120,0,13,False,active,1,1,1,0,1605252902,,,1605265190,1605265190,0,0
7,29,1,127,127,0,2,False,active,1,1,1,0,1605264586,,,1605265190,1605265190,1,0
8,18,1,128,128,0,38,False,active,1,1,1,0,1605263403,,,1605265190,1605265190,1,0
9,4,1,143,143,1,19,False,active,1,1,1,0,1605250048,,,1605265190,1605265190,0,0
10,57,1,144,144,1,0,False,active,1,1,1,0,1605261915,,,1605265190,1605265190,0,1
11,31,1,146,146,0,8,False,active,1,1,1,0,1605252027,,,1605265190,1605265190,0,1
12,28,1,150,150,0,27,False,active,1,3,1,0,1605263114,,,1605265190,1605265190,1,0
13,10,1,151,151,2,21,True,active,1,0,1,0,1605253784,,,1605265190,1605265190,1,0
14,43,1,152,152,1,5,False,active,1,1,1,0,1605263445,,,1605265190,1605265190,0,0
15,14,1,157,157,0,9,False,active,1,3,1,0,1605262317,,,1605265190,1605265190,0,0
16,16,1,161,161,1,18,False,active,1,1,1,0,1605262251,,,1605265190,1605265190,1,0
17,16,1,164,164,1,30,False,active,1,2,1,0,1605265124,,,1605265190,1605265190,0,0
18,28,1,168,168,0,19,False,active,1,1,1,0,1605265042,,,1605265190,1605265190,0,0
19,35,1,173,173,0,35,False,active,1,1,1,0,1605264987,,,1605265190,1605265190,4,0
20,15,1,174,174,0,20,False,active,1,0,1,0,1605262604,,,1605265190,1605265190,0,1
21,49,1,212,212,2,9,False,active,1,0,1,0,1605258530,,,1605265190,1605265190,2,0
22,16,1,216,216,0,21,False,active,1,6,1,0,1605248210,,,1605265190,1605265190,0,0
23,31,1,217,217,1,7,False,active,1,1,1,0,1605248210,,,1605265190,1605265190,0,1
24,24,1,223,223,1,8,False,active,1,4,1,0,1605264392,,,1605265190,1605265190,1,0
25,4,1,224,224,0,26,True,active,1,0,1,0,1605248303,,,1605265190,1605265190,0,0
26,33,1,228,228,0,20,False,active,1,2,1,2,1605261426,,,1605265190,1605265190,0,2
27,7,1,229,229,1,15,False,active,1,0,1,0,1605249416,,,1605265190,1605265190,1,0
28,0,1,236,236,0,0,False,active,1,0,1,0,86400,,,1605265190,1605265190,0,0
29,16,1,237,237,0,23,False,active,1,0,1,0,1605263525,,,1605265190,1605265190,0,2
30,22,1,238,238,0,9,False,active,1,3,1,0,1605250622,,,1605265190,1605265190,0,0
31,15,1,239,239,1,15,False,active,1,0,1,0,1605248210,,,1605265190,1605265190,1,0
32,11,1,241,241,1,11,False,active,1,0,1,0,1605263996,,,1605265190,1605265190,2,0
33,37,1,242,242,0,9,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,1,0
34,3,1,244,244,3,25,False,active,1,1,1,0,1605248209,,,1605265190,1605265190,0,0
35,8,1,245,245,0,15,False,active,1,1,1,0,1605265152,,,1605265190,1605265190,0,0
36,38,1,247,247,1,16,False,active,1,3,1,0,1605256653,,,1605265190,1605265190,0,2
37,85,1,248,248,0,14,False,active,1,0,1,0,1605261658,,,1605265190,1605265190,0,0
38,20,1,249,249,0,7,False,active,1,1,1,0,1605258740,,,1605265190,1605265190,0,1
39,24,1,250,250,1,15,False,active,1,0,1,0,1605255790,,,1605265190,1605265190,2,0
40,21,1,251,251,1,5,False,active,1,1,1,0,1605254531,,,1605265190,1605265190,0,2
41,29,1,252,252,0,4,False,active,1,1,1,0,1605264862,,,1605265190,1605265190,0,3
42,36,1,254,254,3,8,False,active,1,13,1,0,1605249416,,,1605265190,1605265190,0,2
43,28,1,257,257,0,11,False,active,1,1,1,0,1605263920,,,1605265190,1605265190,0,0
44,4,1,258,258,2,17,False,active,1,0,1,0,1605248324,,,1605265190,1605265190,0,3
45,34,1,259,259,0,5,False,active,1,0,1,0,1605254531,,,1605265190,1605265190,0,1
46,16,1,260,260,1,16,False,active,1,0,1,0,1605251922,,,1605265190,1605265190,0,0
47,22,1,261,261,0,19,False,active,1,1,1,0,1605249480,,,1605265190,1605265190,1,0
48,7,1,262,262,1,16,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,1,0
49,20,1,264,264,0,7,False,active,1,0,1,0,1605264578,,,1605265190,1605265190,1,0
50,19,1,265,265,0,16,False,active,1,1,1,0,1605264073,,,1605265190,1605265190,0,1
51,23,1,267,267,2,45,False,active,1,0,1,0,1605250621,,,1605265190,1605265190,2,0
52,21,1,268,268,0,6,False,active,1,1,1,0,1605264455,,,1605265190,1605265190,0,0
53,1,1,270,270,0,22,False,active,1,0,1,0,1605264660,,,1605265190,1605265190,0,0
54,11,1,274,274,0,20,False,active,1,2,1,0,1605252471,,,1605265190,1605265190,0,0
55,4,1,275,275,0,15,False,active,1,1,1,0,1605263668,,,1605265190,1605265190,0,0
56,2,1,276,276,0,23,False,active,1,0,1,0,1605258220,,,1605265190,1605265190,1,0
57,9,1,278,278,0,10,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,0,1
58,0,0,280,280,0,0,False,out_of_service,0,0,0,0,86400,,,1605265190,1605265190,0,0
59,29,1,281,281,1,36,True,active,1,0,1,0,1605261193,,,1605265190,1605265190,2,0
60,14,1,282,282,0,13,False,active,1,4,1,0,1605251661,,,1605265190,1605265190,0,0
61,32,1,284,284,0,19,False,active,1,1,1,0,1605265090,,,1605265190,1605265190,1,0
62,28,1,285,285,2,23,True,active,1,5,1,0,1605262332,,,1605265190,1605265190,0,2
63,13,1,289,289,0,6,False,active,1,2,1,0,1605264111,,,1605265190,1605265190,0,0
64,19,1,291,291,0,1,False,active,1,3,1,0,1605256725,,,1605265190,1605265190,0,1
65,41,1,293,293,0,13,False,active,1,2,1,0,1605263683,,,1605265190,1605265190,0,1
66,22,1,295,295,1,1,False,active,1,0,1,0,1605263297,,,1605265190,1605265190,0,1
67,35,0,297,297,5,37,False,active,1,3,0,0,1605259794,,,1605265190,1605265190,1,0
68,4,1,298,298,0,31,False,active,1,0,1,0,1605248210,,,1605265190,1605265190,0,0
69,35,1,301,301,0,23,False,active,1,0,1,0,1605264370,,,1605265190,1605265190,0,0
70,30,1,302,302,3,4,False,active,1,11,1,0,1605264812,,,1605265190,1605265190,1,0
71,57,1,303,303,1,9,False,active,1,0,1,0,1605254372,,,1605265190,1605265190,0,1
72,8,1,304,304,0,25,False,active,1,1,1,0,1605255708,,,1605265190,1605265190,3,0
73,3,1,305,305,1,29,False,active,1,0,1,0,1605264670,,,1605265190,1605265190,5,0
74,24,1,307,307,1,5,False,active,1,0,1,0,1605262304,,,1605265190,1605265190,2,0
75,46,1,308,308,1,1,False,active,1,4,1,0,1605255312,,,1605265190,1605265190,0,0
76,26,1,309,309,0,15,False,active,1,2,1,0,1605264599,,,1605265190,1605265190,3,0
77,60,1,310,310,1,5,False,active,1,1,1,0,1605248209,,,1605265190,1605265190,1,0
78,19,1,311,311,2,10,False,active,1,4,1,0,1605265111,,,1605265190,1605265190,0,2
79,26,1,312,312,1,6,False,active,1,0,1,0,1605265122,,,1605265190,1605265190,0,1
80,45,1,313,313,0,10,False,active,1,1,1,0,1605248734,,,1605265190,1605265190,1,0
81,19,1,315,315,3,7,False,active,1,0,1,0,1605248210,,,1605265190,1605265190,1,0
82,39,0,316,316,0,4,False,active,1,8,0,0,1605240530,,,1605265190,1605265190,0,0
83,32,1,317,317,0,22,False,active,1,5,1,0,1605264917,,,1605265190,1605265190,0,4
84,10,1,319,319,0,23,False,active,1,0,1,0,1605263786,,,1605265190,1605265190,1,0
85,29,1,320,320,0,10,False,active,1,0,1,0,1605250622,,,1605265190,1605265190,0,2
86,27,1,321,321,1,11,False,active,1,0,1,0,1605264188,,,1605265190,1605265190,0,0
87,35,1,323,323,0,4,False,active,1,0,1,0,1605255554,,,1605265190,1605265190,0,0
88,73,1,324,324,0,1,False,active,1,2,1,0,1605264104,,,1605265190,1605265190,0,1
89,34,0,325,325,1,0,False,active,1,6,0,0,1605256653,,,1605265190,1605265190,0,0
90,17,1,326,326,0,24,False,active,1,0,1,0,1605263432,,,1605265190,1605265190,1,0
91,20,1,327,327,1,18,True,active,1,2,1,0,1605264793,,,1605265190,1605265190,4,0
