,num_docks_available,is_returning,num_docks_disabled,num_bikes_available,last_reported,is_renting,eightd_has_available_keys,station_status,num_ebikes_available,legacy_id,is_installed,num_bikes_disabled,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,28,1,0,27,1605268464,1,False,active,2,72,1,0,72,,,1605268800,1605268800,1,0
1,8,1,0,25,1605268488,1,False,active,0,79,1,0,79,,,1605268800,1605268800,0,0
2,2,1,0,25,1605268585,1,False,active,0,82,1,0,82,,,1605268800,1605268800,0,1
3,20,1,0,42,1605267028,1,False,active,0,83,1,0,83,,,1605268800,1605268800,0,0
4,0,0,0,0,86400,0,False,out_of_service,0,116,0,0,116,,,1605268800,1605268800,0,0
5,10,1,0,43,1605267605,1,False,active,0,119,1,0,119,,,1605268800,1605268800,0,0
6,13,1,0,6,1605252902,1,False,active,1,120,1,0,120,,,1605268800,1605268800,0,0
7,1,1,0,30,1605268313,1,False,active,1,127,1,0,127,,,1605268800,1605268800,1,0
8,37,1,0,19,1605267444,1,False,active,0,128,1,0,128,,,1605268800,1605268800,3,0
9,19,1,0,4,1605250048,1,False,active,1,143,1,1,143,,,1605268800,1605268800,2,0
10,1,1,0,56,1605268726,1,False,active,0,144,1,1,144,,,1605268800,1605268800,1,0
11,9,1,0,30,1605268585,1,False,active,0,146,1,0,146,,,1605268800,1605268800,0,0
12,26,1,0,29,1605268026,1,False,active,2,150,1,0,150,,,1605268800,1605268800,1,0
13,20,1,0,11,1605268721,1,True,active,0,151,1,2,151,,,1605268800,1605268800,1,0
14,5,1,0,43,1605263445,1,False,active,1,152,1,1,152,,,1605268800,1605268800,2,0
15,9,1,0,14,1605262317,1,False,active,3,157,1,0,157,,,1605268800,1605268800,0,1
16,17,1,0,17,1605268030,1,False,active,0,161,1,1,161,,,1605268800,1605268800,2,0
17,30,1,0,16,1605268330,1,False,active,3,164,1,1,164,,,1605268800,1605268800,0,2
18,19,1,0,28,1605265042,1,False,active,1,168,1,0,168,,,1605268800,1605268800,0,1
19,31,1,0,39,1605268412,1,False,active,1,173,1,0,173,,,1605268800,1605268800,4,0
20,21,1,0,14,1605268635,1,False,active,0,174,1,0,174,,,1605268800,1605268800,6,0
21,7,1,0,51,1605268620,1,False,active,2,212,1,2,212,,,1605268800,1605268800,1,0
22,21,1,0,16,1605248210,1,False,active,6,216,1,0,216,,,1605268800,1605268800,0,0
23,8,1,0,30,1605266096,1,False,active,0,217,1,1,217,,,1605268800,1605268800,0,0
24,7,1,0,25,1605268280,1,False,active,4,223,1,1,223,,,1605268800,1605268800,0,2
25,26,1,0,4,1605268487,1,True,active,0,224,1,0,224,,,1605268800,1605268800,2,0
26,22,1,2,31,1605268612,1,False,active,0,228,1,0,228,,,1605268800,1605268800,3,0
27,14,1,0,8,1605265681,1,False,active,0,229,1,1,229,,,1605268800,1605268800,7,0
28,0,0,0,0,86400,0,False,active,0,236,1,0,236,,,1605268800,1605268800,0,0
29,25,1,0,14,1605268422,1,False,active,0,237,1,0,237,,,1605268800,1605268800,0,3
30,9,1,0,22,1605250622,1,False,active,3,238,1,0,238,,,1605268800,1605268800,0,3
31,14,1,0,16,1605267806,1,False,active,0,239,1,1,239,,,1605268800,1605268800,0,0
32,9,1,0,13,1605267012,1,False,active,1,241,1,1,241,,,1605268800,1605268800,0,2
33,8,1,0,38,1605265301,1,False,active,0,242,1,0,242,,,1605268800,1605268800,0,0
34,26,1,0,3,1605266247,1,False,active,1,244,1,2,244,,,1605268800,1605268800,0,1
35,15,1,0,8,1605265152,1,False,active,1,245,1,0,245,,,1605268800,1605268800,1,0
36,18,1,0,36,1605266956,1,False,active,2,247,1,1,247,,,1605268800,1605268800,0,2
37,14,1,0,85,1605261658,1,False,active,0,248,1,0,248,,,1605268800,1605268800,0,0
38,8,1,0,19,1605268022,1,False,active,1,249,1,0,249,,,1605268800,1605268800,0,0
39,13,1,0,26,1605267629,1,False,active,0,250,1,1,250,,,1605268800,1605268800,1,0
40,7,1,0,19,1605268657,1,False,active,0,251,1,1,251,,,1605268800,1605268800,0,4
41,7,1,0,26,1605268108,1,False,active,1,252,1,0,252,,,1605268800,1605268800,1,0
