,is_installed,is_renting,legacy_id,station_id,num_bikes_available,num_ebikes_available,num_docks_disabled,is_returning,eightd_has_available_keys,station_status,num_bikes_disabled,num_docks_available,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,1,1,72,72,31,3,0,1,False,active,0,24,1605279466,,,1605279595,1605279595,2,0
1,1,1,79,79,26,0,0,1,False,active,1,6,1605278710,,,1605279595,1605279595,2,0
2,1,1,82,82,24,0,0,1,False,active,0,3,1605276183,,,1605279595,1605279595,0,0
3,1,1,83,83,43,0,0,1,False,active,0,19,1605276792,,,1605279595,1605279595,0,1
4,0,0,116,116,0,0,0,0,False,out_of_service,0,0,86400,,,1605279595,1605279595,0,0
5,1,1,119,119,42,0,0,1,False,active,0,11,1605277188,,,1605279595,1605279595,0,1
6,1,1,120,120,4,0,0,1,False,active,0,15,1605277532,,,1605279595,1605279595,0,0
7,1,1,127,127,21,0,0,1,False,active,0,10,1605279443,,,1605279595,1605279595,0,2
8,1,1,128,128,31,5,0,1,False,active,0,25,1605278894,,,1605279595,1605279595,0,1
9,1,1,143,143,9,0,0,1,False,active,0,15,1605279471,,,1605279595,1605279595,1,0
10,1,1,144,144,54,0,0,1,False,active,1,3,1605275276,,,1605279595,1605279595,0,0
11,1,1,146,146,31,0,0,1,False,active,0,8,1605279031,,,1605279595,1605279595,1,0
12,1,1,150,150,30,1,0,1,False,active,0,25,1605279543,,,1605279595,1605279595,0,2
13,1,1,151,151,12,1,0,1,True,active,1,20,1605279580,,,1605279595,1605279595,0,3
14,1,1,152,152,46,3,0,1,False,active,1,2,1605278421,,,1605279595,1605279595,0,0
15,1,1,157,157,15,1,0,1,False,active,1,7,1605279124,,,1605279595,1605279595,0,1
16,1,1,161,161,21,2,0,1,False,active,3,11,1605278965,,,1605279595,1605279595,0,2
17,1,1,164,164,20,4,0,1,False,active,2,25,1605278611,,,1605279595,1605279595,0,0
18,1,1,168,168,32,1,0,1,False,active,1,14,1605279492,,,1605279595,1605279595,2,0
19,1,1,173,173,41,2,0,1,False,active,0,29,1605279196,,,1605279595,1605279595,0,0
20,1,1,174,174,24,3,0,1,False,active,0,11,1605278846,,,1605279595,1605279595,2,0
21,1,1,212,212,50,2,0,1,False,active,3,7,1605278623,,,1605279595,1605279595,0,2
22,1,1,216,216,15,6,0,1,False,active,0,22,1605275819,,,1605279595,1605279595,0,0
23,1,1,217,217,29,0,0,1,False,active,1,9,1605277235,,,1605279595,1605279595,1,0
